d,q,gamma,diamond_norm,trace_distance_for_|0>,trace_distance_for_|1>,trace_distance_for_|+>,trace_distance_for_|->,trace_distance_for_mixed_state,p_success,max_random_probe_trace_norm,shared_p,p
1.000000000000000e-02,0.000000000000000e+00,1.000000000000000e-02,1.333333333333333e-04,1.333333333333256e-04,1.333333333333256e-04,1.333333333330966e-04,1.333333333330966e-04,1.333333333331521e-04,5.000333333333333e-01,1.333333333336517e-04,False,
1.000000000000000e-02,0.000000000000000e+00,5.000000000000000e-02,6.666666666666666e-04,6.666666666666314e-04,6.666666666666349e-04,6.666666666664267e-04,6.666666666664267e-04,6.666666666665930e-04,5.001666666666666e-01,6.666666666669263e-04,False,
1.000000000000000e-02,0.000000000000000e+00,1.000000000000000e-01,1.333333333333333e-03,1.333333333333371e-03,1.333333333333353e-03,1.333333333333409e-03,1.333333333333409e-03,1.333333333333242e-03,5.003333333333333e-01,1.333333333333575e-03,False,
1.000000000000000e-02,2.000000000000000e-02,1.000000000000000e-02,1.333333333333333e-04,1.333333333333256e-04,1.333333333333221e-04,1.333333333330411e-04,1.333333333330411e-04,1.333333333329856e-04,5.000333333333333e-01,1.333333333336517e-04,False,
1.000000000000000e-02,2.000000000000000e-02,5.000000000000000e-02,6.666666666666666e-04,6.666666666666314e-04,6.666666666666279e-04,6.666666666665377e-04,6.666666666665377e-04,6.666666666664821e-04,5.001666666666666e-01,6.666666666670928e-04,False,
1.000000000000000e-02,2.000000000000000e-02,1.000000000000000e-01,1.333333333333333e-03,1.333333333333371e-03,1.333333333333353e-03,1.333333333333464e-03,1.333333333333464e-03,1.333333333333186e-03,5.003333333333333e-01,1.333333333333575e-03,False,
1.000000000000000e-02,5.000000000000000e-02,1.000000000000000e-02,1.333333333333333e-04,1.333333333333256e-04,1.333333333333256e-04,1.333333333330966e-04,1.333333333330966e-04,1.333333333332076e-04,5.000333333333333e-01,1.333333333335546e-04,False,
1.000000000000000e-02,5.000000000000000e-02,5.000000000000000e-02,6.666666666666666e-04,6.666666666666314e-04,6.666666666666418e-04,6.666666666664267e-04,6.666666666664267e-04,6.666666666666488e-04,5.001666666666666e-01,6.666666666669541e-04,False,
1.000000000000000e-02,5.000000000000000e-02,1.000000000000000e-01,1.333333333333333e-03,1.333333333333371e-03,1.333333333333367e-03,1.333333333333520e-03,1.333333333333520e-03,1.333333333333242e-03,5.003333333333333e-01,1.333333333333631e-03,False,
1.000000000000000e-02,1.000000000000000e-01,1.000000000000000e-02,1.333333333333333e-04,1.333333333333256e-04,1.333333333334366e-04,1.333333333330966e-04,1.333333333330966e-04,1.333333333329856e-04,5.000333333333333e-01,1.333333333335962e-04,False,
1.000000000000000e-02,1.000000000000000e-01,5.000000000000000e-02,6.666666666666666e-04,6.666666666666314e-04,6.666666666667390e-04,6.666666666664267e-04,6.666666666664267e-04,6.666666666664267e-04,5.001666666666666e-01,6.666666666670928e-04,False,
1.000000000000000e-02,1.000000000000000e-01,1.000000000000000e-01,1.333333333333333e-03,1.333333333333371e-03,1.333333333333464e-03,1.333333333333520e-03,1.333333333333520e-03,1.333333333333242e-03,5.003333333333333e-01,1.333333333333742e-03,False,
5.000000000000000e-02,0.000000000000000e+00,1.000000000000000e-02,6.666666666666666e-04,6.666666666666279e-04,6.666666666665239e-04,6.666666666667043e-04,6.666666666667043e-04,6.666666666666485e-04,5.001666666666666e-01,6.666666666669818e-04,False,
5.000000000000000e-02,0.000000000000000e+00,5.000000000000000e-02,3.333333333333334e-03,3.333333333333376e-03,3.333333333333383e-03,3.333333333333299e-03,3.333333333333299e-03,3.333333333333355e-03,5.008333333333334e-01,3.333333333333605e-03,False,
5.000000000000000e-02,0.000000000000000e+00,1.000000000000000e-01,6.666666666666668e-03,6.666666666666633e-03,6.666666666666654e-03,6.666666666666765e-03,6.666666666666765e-03,6.666666666666543e-03,5.016666666666667e-01,6.666666666666889e-03,False,
5.000000000000000e-02,2.000000000000000e-02,1.000000000000000e-02,6.666666666666666e-04,6.666666666666279e-04,6.666666666665308e-04,6.666666666667043e-04,6.666666666667043e-04,6.666666666665930e-04,5.001666666666666e-01,6.666666666669818e-04,False,
5.000000000000000e-02,2.000000000000000e-02,5.000000000000000e-02,3.333333333333334e-03,3.333333333333376e-03,3.333333333333383e-03,3.333333333333299e-03,3.333333333333299e-03,3.333333333333299e-03,5.008333333333334e-01,3.333333333333688e-03,False,
5.000000000000000e-02,2.000000000000000e-02,1.000000000000000e-01,6.666666666666668e-03,6.666666666666637e-03,6.666666666666626e-03,6.666666666666765e-03,6.666666666666765e-03,6.666666666666432e-03,5.016666666666667e-01,6.666666666667015e-03,False,
5.000000000000000e-02,5.000000000000000e-02,1.000000000000000e-02,6.666666666666666e-04,6.666666666666279e-04,6.666666666665100e-04,6.666666666667598e-04,6.666666666667598e-04,6.666666666666485e-04,5.001666666666666e-01,6.666666666669818e-04,False,
5.000000000000000e-02,5.000000000000000e-02,5.000000000000000e-02,3.333333333333334e-03,3.333333333333369e-03,3.333333333333369e-03,3.333333333333299e-03,3.333333333333299e-03,3.333333333333355e-03,5.008333333333334e-01,3.333333333333744e-03,False,
5.000000000000000e-02,5.000000000000000e-02,1.000000000000000e-01,6.666666666666668e-03,6.666666666666633e-03,6.666666666666626e-03,6.666666666666765e-03,6.666666666666765e-03,6.666666666666541e-03,5.016666666666667e-01,6.666666666666987e-03,False,
5.000000000000000e-02,1.000000000000000e-01,1.000000000000000e-02,6.666666666666666e-04,6.666666666666279e-04,6.666666666665239e-04,6.666666666666488e-04,6.666666666666488e-04,6.666666666665375e-04,5.001666666666666e-01,6.666666666669263e-04,False,
5.000000000000000e-02,1.000000000000000e-01,5.000000000000000e-02,3.333333333333334e-03,3.333333333333376e-03,3.333333333333285e-03,3.333333333333188e-03,3.333333333333188e-03,3.333333333333244e-03,5.008333333333334e-01,3.333333333333631e-03,False,
5.000000000000000e-02,1.000000000000000e-01,1.000000000000000e-01,6.666666666666668e-03,6.666666666666633e-03,6.666666666666654e-03,6.666666666666710e-03,6.666666666666710e-03,6.666666666666430e-03,5.016666666666667e-01,6.666666666666987e-03,False,
1.000000000000000e-01,0.000000000000000e+00,1.000000000000000e-02,1.333333333333333e-03,1.333333333333367e-03,1.333333333333256e-03,1.333333333333242e-03,1.333333333333242e-03,1.333333333333298e-03,5.003333333333333e-01,1.333333333333548e-03,False,
1.000000000000000e-01,0.000000000000000e+00,5.000000000000000e-02,6.666666666666668e-03,6.666666666666640e-03,6.666666666666640e-03,6.666666666666654e-03,6.666666666666654e-03,6.666666666666488e-03,5.016666666666667e-01,6.666666666666876e-03,False,
1.000000000000000e-01,0.000000000000000e+00,1.000000000000000e-01,1.333333333333334e-02,1.333333333333338e-02,1.333333333333325e-02,1.333333333333325e-02,1.333333333333325e-02,1.333333333333320e-02,5.033333333333333e-01,1.333333333333353e-02,False,
1.000000000000000e-01,2.000000000000000e-02,1.000000000000000e-02,1.333333333333333e-03,1.333333333333367e-03,1.333333333333256e-03,1.333333333333353e-03,1.333333333333353e-03,1.333333333333464e-03,5.003333333333333e-01,1.333333333333672e-03,False,
1.000000000000000e-01,2.000000000000000e-02,5.000000000000000e-02,6.666666666666668e-03,6.666666666666640e-03,6.666666666666654e-03,6.666666666666765e-03,6.666666666666765e-03,6.666666666666599e-03,5.016666666666667e-01,6.666666666666933e-03,False,
1.000000000000000e-01,2.000000000000000e-02,1.000000000000000e-01,1.333333333333334e-02,1.333333333333338e-02,1.333333333333328e-02,1.333333333333320e-02,1.333333333333320e-02,1.333333333333319e-02,5.033333333333333e-01,1.333333333333347e-02,False,
1.000000000000000e-01,5.000000000000000e-02,1.000000000000000e-02,1.333333333333333e-03,1.333333333333367e-03,1.333333333333242e-03,1.333333333333353e-03,1.333333333333353e-03,1.333333333333298e-03,5.003333333333333e-01,1.333333333333631e-03,False,
1.000000000000000e-01,5.000000000000000e-02,5.000000000000000e-02,6.666666666666668e-03,6.666666666666626e-03,6.666666666666612e-03,6.666666666666654e-03,6.666666666666654e-03,6.666666666666599e-03,5.016666666666667e-01,6.666666666667030e-03,False,
1.000000000000000e-01,5.000000000000000e-02,1.000000000000000e-01,1.333333333333334e-02,1.333333333333338e-02,1.333333333333328e-02,1.333333333333325e-02,1.333333333333325e-02,1.333333333333320e-02,5.033333333333333e-01,1.333333333333353e-02,False,
1.000000000000000e-01,1.000000000000000e-01,1.000000000000000e-02,1.333333333333333e-03,1.333333333333367e-03,1.333333333333145e-03,1.333333333333298e-03,1.333333333333298e-03,1.333333333333297e-03,5.003333333333333e-01,1.333333333333575e-03,False,
1.000000000000000e-01,1.000000000000000e-01,5.000000000000000e-02,6.666666666666668e-03,6.666666666666640e-03,6.666666666666654e-03,6.666666666666710e-03,6.666666666666710e-03,6.666666666666599e-03,5.016666666666667e-01,6.666666666666987e-03,False,
1.000000000000000e-01,1.000000000000000e-01,1.000000000000000e-01,1.333333333333334e-02,1.333333333333338e-02,1.333333333333314e-02,1.333333333333342e-02,1.333333333333342e-02,1.333333333333314e-02,5.033333333333333e-01,1.333333333333353e-02,False,
