d,q,gamma,diamond_norm,trace_distance_for_|0>,trace_distance_for_|1>,trace_distance_for_|+>,trace_distance_for_|->,trace_distance_for_mixed_state,p_success,max_random_probe_trace_norm,shared_p,p
1.000000000000000e-03,1.000000000000000e-03,1.000000000000000e-03,1.333333333333333e-06,1.333333333315440e-06,1.333333333426896e-06,1.333333333408682e-06,1.333333333408682e-06,1.333333333186637e-06,5.000003333333334e-01,1.333333333575215e-06,True,1.000000000000000e-03
2.000000000000000e-03,2.000000000000000e-03,2.000000000000000e-03,5.333333333333333e-06,5.333333333373000e-06,5.333333333262195e-06,5.333333333357171e-06,5.333333333357171e-06,5.333333333024104e-06,5.000013333333333e-01,5.333333333579215e-06,True,2.000000000000000e-03
3.000000000000000e-03,3.000000000000000e-03,3.000000000000000e-03,1.200000000000000e-05,1.199999999995042e-05,1.199999999983940e-05,1.199999999995649e-05,1.199999999995649e-05,1.199999999990098e-05,5.000030000000000e-01,1.200000000026180e-05,True,3.000000000000000e-03
4.000000000000000e-03,4.000000000000000e-03,4.000000000000000e-03,2.133333333333333e-05,2.133333333338098e-05,2.133333333315807e-05,2.133333333342868e-05,2.133333333342868e-05,2.133333333342868e-05,5.000053333333333e-01,2.133333333370624e-05,True,4.000000000000000e-03
5.000000000000000e-03,5.000000000000000e-03,5.000000000000000e-03,3.333333333333333e-05,3.333333333333183e-05,3.333333333344415e-05,3.333333333338517e-05,3.333333333338517e-05,3.333333333321864e-05,5.000083333333334e-01,3.333333333357946e-05,True,5.000000000000000e-03
6.000000000000000e-03,6.000000000000000e-03,6.000000000000000e-03,4.800000000000000e-05,4.800000000002459e-05,4.800000000002372e-05,4.799999999993698e-05,4.799999999993698e-05,4.800000000021454e-05,5.000120000000000e-01,4.800000000021454e-05,True,6.000000000000000e-03
7.000000000000000e-03,7.000000000000000e-03,7.000000000000000e-03,6.533333333333334e-05,6.533333333334779e-05,6.533333333334605e-05,6.533333333352820e-05,6.533333333352820e-05,6.533333333325064e-05,5.000163333333333e-01,6.533333333357677e-05,True,7.000000000000000e-03
8.000000000000000e-03,8.000000000000000e-03,8.000000000000000e-03,8.533333333333332e-05,8.533333333330187e-05,8.533333333341289e-05,8.533333333332616e-05,8.533333333332616e-05,8.533333333360371e-05,5.000213333333333e-01,8.533333333360371e-05,True,8.000000000000000e-03
8.999999999999999e-03,8.999999999999999e-03,8.999999999999999e-03,1.080000000000000e-04,1.079999999999996e-04,1.080000000001115e-04,1.080000000001080e-04,1.080000000001080e-04,1.079999999998304e-04,5.000270000000000e-01,1.080000000003301e-04,True,8.999999999999999e-03
1.000000000000000e-02,1.000000000000000e-02,1.000000000000000e-02,1.333333333333333e-04,1.333333333333256e-04,1.333333333333256e-04,1.333333333330966e-04,1.333333333330966e-04,1.333333333331521e-04,5.000333333333333e-01,1.333333333335684e-04,True,1.000000000000000e-02
