p,diamond_norm,diamond_norm_over_p_squared,p_success_minus_half
1.000000000000000e-03,1.333333333333333e-06,1.333333333333333e+00,3.333333333799260e-07
2.000000000000000e-03,5.333333333333333e-06,1.333333333333333e+00,1.333333333297659e-06
3.000000000000000e-03,1.200000000000000e-05,1.333333333333333e+00,2.999999999975245e-06
4.000000000000000e-03,2.133333333333333e-05,1.333333333333333e+00,5.333333333301660e-06
5.000000000000000e-03,3.333333333333333e-05,1.333333333333333e+00,8.333333333387927e-06
6.000000000000000e-03,4.800000000000000e-05,1.333333333333333e+00,1.200000000001200e-05
7.000000000000000e-03,6.533333333333334e-05,1.333333333333333e+00,1.633333333328491e-05
8.000000000000000e-03,8.533333333333332e-05,1.333333333333333e+00,2.133333333331766e-05
8.999999999999999e-03,1.080000000000000e-04,1.333333333333333e+00,2.699999999999925e-05
1.000000000000000e-02,1.333333333333333e-04,1.333333333333333e+00,3.333333333332966e-05
1.100000000000000e-02,1.613333333333333e-04,1.333333333333333e+00,4.033333333330891e-05
1.200000000000000e-02,1.920000000000000e-04,1.333333333333333e+00,4.800000000004800e-05
1.300000000000000e-02,2.253333333333333e-04,1.333333333333333e+00,5.633333333332491e-05
1.400000000000000e-02,2.613333333333334e-04,1.333333333333333e+00,6.533333333336167e-05
1.500000000000000e-02,3.000000000000000e-04,1.333333333333333e+00,7.500000000004725e-05
1.600000000000000e-02,3.413333333333333e-04,1.333333333333333e+00,8.533333333338167e-05
1.700000000000000e-02,3.853333333333334e-04,1.333333333333333e+00,9.633333333336491e-05
1.800000000000000e-02,4.319999999999999e-04,1.333333333333333e+00,1.079999999999970e-04
1.900000000000000e-02,4.813333333333333e-04,1.333333333333333e+00,1.203333333332779e-04
2.000000000000000e-02,5.333333333333334e-04,1.333333333333333e+00,1.333333333333186e-04
2.100000000000000e-02,5.880000000000001e-04,1.333333333333333e+00,1.470000000000082e-04
2.200000000000000e-02,6.453333333333333e-04,1.333333333333333e+00,1.613333333333467e-04
2.300000000000000e-02,7.053333333333333e-04,1.333333333333333e+00,1.763333333333339e-04
2.400000000000000e-02,7.680000000000000e-04,1.333333333333333e+00,1.919999999999700e-04
2.500000000000000e-02,8.333333333333335e-04,1.333333333333333e+00,2.083333333333659e-04
2.600000000000000e-02,9.013333333333333e-04,1.333333333333333e+00,2.253333333332996e-04
2.700000000000000e-02,9.719999999999999e-04,1.333333333333333e+00,2.429999999999932e-04
2.800000000000000e-02,1.045333333333333e-03,1.333333333333333e+00,2.613333333333356e-04
2.900000000000000e-02,1.121333333333333e-03,1.333333333333333e+00,2.803333333333269e-04
3.000000000000000e-02,1.200000000000000e-03,1.333333333333333e+00,2.999999999999670e-04
3.100000000000000e-02,1.281333333333333e-03,1.333333333333333e+00,3.203333333333669e-04
3.200000000000000e-02,1.365333333333333e-03,1.333333333333333e+00,3.413333333333046e-04
3.300000000000000e-02,1.452000000000000e-03,1.333333333333333e+00,3.630000000000022e-04
3.400000000000000e-02,1.541333333333334e-03,1.333333333333333e+00,3.853333333333486e-04
3.500000000000000e-02,1.633333333333334e-03,1.333333333333333e+00,4.083333333333439e-04
3.600000000000000e-02,1.728000000000000e-03,1.333333333333333e+00,4.319999999999879e-04
3.700000000000000e-02,1.825333333333333e-03,1.333333333333333e+00,4.563333333332809e-04
3.800000000000000e-02,1.925333333333333e-03,1.333333333333333e+00,4.813333333333336e-04
3.900000000000000e-02,2.028000000000000e-03,1.333333333333333e+00,5.070000000000352e-04
4.000000000000000e-02,2.133333333333333e-03,1.333333333333333e+00,5.333333333333856e-04
4.100000000000000e-02,2.241333333333333e-03,1.333333333333333e+00,5.603333333333849e-04
4.200000000000000e-02,2.352000000000000e-03,1.333333333333333e+00,5.880000000000329e-04
4.300000000000000e-02,2.465333333333333e-03,1.333333333333333e+00,6.163333333333298e-04
4.400000000000000e-02,2.581333333333333e-03,1.333333333333333e+00,6.453333333333866e-04
4.500000000000000e-02,2.700000000000000e-03,1.333333333333333e+00,6.749999999999812e-04
4.600000000000000e-02,2.821333333333333e-03,1.333333333333333e+00,7.053333333333356e-04
4.700000000000000e-02,2.945333333333333e-03,1.333333333333333e+00,7.363333333333388e-04
4.800000000000000e-02,3.072000000000000e-03,1.333333333333333e+00,7.679999999999909e-04
4.900000000000000e-02,3.201333333333334e-03,1.333333333333333e+00,8.003333333332918e-04
5.000000000000000e-02,3.333333333333334e-03,1.333333333333333e+00,8.333333333333526e-04
5.100000000000000e-02,3.467999999999999e-03,1.333333333333333e+00,8.669999999999511e-04
5.200000000000000e-02,3.605333333333333e-03,1.333333333333333e+00,9.013333333333096e-04
5.300000000000000e-02,3.745333333333333e-03,1.333333333333333e+00,9.363333333333168e-04
5.400000000000000e-02,3.888000000000000e-03,1.333333333333333e+00,9.719999999999729e-04
5.500000000000000e-02,4.033333333333333e-03,1.333333333333333e+00,1.008333333333278e-03
5.600000000000000e-02,4.181333333333334e-03,1.333333333333333e+00,1.045333333333343e-03
5.700000000000000e-02,4.332000000000000e-03,1.333333333333333e+00,1.082999999999945e-03
5.800000000000000e-02,4.485333333333333e-03,1.333333333333333e+00,1.121333333333308e-03
5.900000000000000e-02,4.641333333333333e-03,1.333333333333333e+00,1.160333333333319e-03
6.000000000000000e-02,4.800000000000000e-03,1.333333333333333e+00,1.199999999999979e-03
6.100000000000000e-02,4.961333333333333e-03,1.333333333333333e+00,1.240333333333288e-03
6.200000000000000e-02,5.125333333333333e-03,1.333333333333333e+00,1.281333333333357e-03
6.300000000000000e-02,5.292000000000001e-03,1.333333333333333e+00,1.322999999999963e-03
6.400000000000000e-02,5.461333333333333e-03,1.333333333333333e+00,1.365333333333330e-03
6.500000000000000e-02,5.633333333333334e-03,1.333333333333333e+00,1.408333333333345e-03
6.600000000000000e-02,5.808000000000001e-03,1.333333333333333e+00,1.452000000000009e-03
6.700000000000000e-02,5.985333333333335e-03,1.333333333333333e+00,1.496333333333322e-03
6.800000000000000e-02,6.165333333333334e-03,1.333333333333333e+00,1.541333333333283e-03
6.900000000000001e-02,6.348000000000000e-03,1.333333333333333e+00,1.587000000000005e-03
7.000000000000001e-02,6.533333333333335e-03,1.333333333333333e+00,1.633333333333375e-03
7.099999999999999e-02,6.721333333333333e-03,1.333333333333333e+00,1.680333333333284e-03
7.199999999999999e-02,6.911999999999999e-03,1.333333333333333e+00,1.727999999999952e-03
7.300000000000000e-02,7.105333333333332e-03,1.333333333333333e+00,1.776333333333380e-03
7.400000000000000e-02,7.301333333333332e-03,1.333333333333333e+00,1.825333333333345e-03
7.500000000000000e-02,7.500000000000000e-03,1.333333333333333e+00,1.874999999999960e-03
7.600000000000000e-02,7.701333333333333e-03,1.333333333333333e+00,1.925333333333334e-03
7.700000000000000e-02,7.905333333333334e-03,1.333333333333333e+00,1.976333333333358e-03
7.800000000000000e-02,8.111999999999999e-03,1.333333333333333e+00,2.028000000000030e-03
7.900000000000000e-02,8.321333333333333e-03,1.333333333333333e+00,2.080333333333351e-03
8.000000000000000e-02,8.533333333333334e-03,1.333333333333333e+00,2.133333333333320e-03
8.100000000000000e-02,8.748000000000001e-03,1.333333333333333e+00,2.187000000000050e-03
8.200000000000000e-02,8.965333333333334e-03,1.333333333333333e+00,2.241333333333317e-03
8.300000000000000e-02,9.185333333333335e-03,1.333333333333333e+00,2.296333333333345e-03
8.400000000000001e-02,9.408000000000001e-03,1.333333333333333e+00,2.352000000000021e-03
8.500000000000001e-02,9.633333333333336e-03,1.333333333333333e+00,2.408333333333346e-03
8.599999999999999e-02,9.861333333333331e-03,1.333333333333333e+00,2.465333333333319e-03
8.699999999999999e-02,1.009200000000000e-02,1.333333333333333e+00,2.523000000000053e-03
8.799999999999999e-02,1.032533333333333e-02,1.333333333333333e+00,2.581333333333324e-03
8.900000000000000e-02,1.056133333333333e-02,1.333333333333333e+00,2.640333333333356e-03
9.000000000000000e-02,1.080000000000000e-02,1.333333333333333e+00,2.700000000000036e-03
9.100000000000000e-02,1.104133333333333e-02,1.333333333333333e+00,2.760333333333365e-03
9.200000000000000e-02,1.128533333333333e-02,1.333333333333333e+00,2.821333333333342e-03
9.300000000000000e-02,1.153200000000000e-02,1.333333333333333e+00,2.882999999999969e-03
9.400000000000000e-02,1.178133333333333e-02,1.333333333333333e+00,2.945333333333355e-03
9.500000000000000e-02,1.203333333333333e-02,1.333333333333333e+00,3.008333333333280e-03
9.600000000000000e-02,1.228800000000000e-02,1.333333333333333e+00,3.071999999999964e-03
9.700000000000000e-02,1.254533333333333e-02,1.333333333333333e+00,3.136333333333297e-03
9.800000000000000e-02,1.280533333333334e-02,1.333333333333333e+00,3.201333333333389e-03
9.900000000000000e-02,1.306800000000000e-02,1.333333333333333e+00,3.267000000000020e-03
1.000000000000000e-01,1.333333333333334e-02,1.333333333333333e+00,3.333333333333299e-03
