d,q,gamma,ordering_class,concurrence,T_xx,T_zz,Q,fixed_chsh,s_max,entangled,shared_p,p
0.01,0.01,0.01,1,9.027295903999993e-01,9.256104703999996e-01,9.542382399999996e-01,2.288088000000000e-02,2.658507541457251e+00,2.658815797750875e+00,True,True,0.01
0.01,0.01,0.01,2,9.027282659555549e-01,9.256104703999996e-01,9.542355911111107e-01,2.288220444444445e-02,2.658503795362659e+00,2.658811995051384e+00,True,True,0.01
0.02,0.02,0.02,1,8.107721016888891e-01,8.556412928000002e-01,9.102616177777777e-01,4.486919111111112e-02,2.497363845973216e+00,2.498558172021514e+00,True,True,0.02
0.02,0.02,0.02,2,8.107615772444446e-01,8.556412928000001e-01,9.102405688888890e-01,4.487971555555557e-02,2.497334078349077e+00,2.498527498504368e+00,True,True,0.02
0.03,0.03,0.03,1,7.239127071999996e-01,7.898959871999996e-01,8.680334399999997e-01,6.598327999999998e-02,2.344666281403696e+00,2.347268815924495e+00,True,True,0.03
0.03,0.03,0.03,2,7.238774271999995e-01,7.898959871999996e-01,8.679628799999998e-01,6.601855999999998e-02,2.344566494494735e+00,2.347164443879087e+00,True,True,0.03
0.04,0.04,0.04,1,6.419425962666663e-01,7.281838762666664e-01,8.275174399999999e-01,8.624127999999998e-02,2.200093900465995e+00,2.204574218445730e+00,True,True,0.04
0.04,0.04,0.04,2,6.418595384888883e-01,7.281838762666663e-01,8.273513244444441e-01,8.632433777777775e-02,2.199858977594407e+00,2.204324814281891e+00,True,True,0.04
0.05,0.05,0.05,1,5.646588888888879e-01,6.703199999999992e-01,7.886777777777773e-01,1.056611111111110e-01,2.063334444805538e+00,2.070112595546911e+00,True,True,0.05
0.05,0.05,0.05,2,5.644977777777769e-01,6.703199999999995e-01,7.883555555555548e-01,1.058222222222221e-01,2.062878753768774e+00,2.069621592828319e+00,True,True,0.05
0.06,0.06,0.06,1,4.918645503999994e-01,6.161250303999996e-01,7.514790399999997e-01,1.242604799999999e-01,1.934084224316328e+00,1.943533689591947e+00,True,True,0.06
0.06,0.06,0.06,2,4.915880703999995e-01,6.161250303999997e-01,7.509260799999997e-01,1.245369599999999e-01,1.933302220784878e+00,1.942678594837104e+00,True,True,0.06
0.07,0.07,0.07,1,4.233683061333327e-01,5.654251861333329e-01,7.158862399999995e-01,1.420568799999999e-01,1.812047996461371e+00,1.824498560958874e+00,True,True,0.07
0.07,0.07,0.07,2,4.229323150222219e-01,5.654251861333330e-01,7.150142577777777e-01,1.424928711111110e-01,1.810814827376557e+00,1.823130307947757e+00,True,True,0.07
0.08,0.08,0.08,1,3.589845560888887e-01,5.180521471999999e-01,6.818648177777776e-01,1.590675911111111e-01,1.696938845593135e+00,1.712679370975960e+00,True,True,0.08
0.08,0.08,0.08,2,3.583382983111111e-01,5.180521471999999e-01,6.805723022222223e-01,1.597138488888888e-01,1.695110952564891e+00,1.710621741672409e+00,True,True,0.08
0.09,0.09,0.09,1,2.985332895999999e-01,4.738429695999999e-01,6.493806400000000e-01,1.753096800000000e-01,1.588478062273982e+00,1.607759155403764e+00,True,True,0.09
0.09,0.09,0.09,2,2.976196096000002e-01,4.738429696000002e-01,6.475532800000001e-01,1.762233600000001e-01,1.585893784978645e+00,1.604808287962279e+00,True,True,0.09
0.1,0.1,0.1,1,2.418399999999993e-01,4.326399999999995e-01,6.183999999999995e-01,1.907999999999998e-01,1.486395022596616e+00,1.509431587850207e+00,True,True,0.1
0.1,0.1,0.1,2,2.405955555555550e-01,4.326399999999996e-01,6.159111111111109e-01,1.920444444444443e-01,1.482875202174710e+00,1.505355594389741e+00,True,True,0.1
0.11,0.11,0.11,1,1.887355992888889e-01,3.942907904000000e-01,5.888896177777777e-01,2.055551911111111e-01,1.390427067504528e+00,1.417400732779144e+00,True,True,0.11
