p,concurrence_class1,concurrence_class2,delta_concurrence,fixed_chsh_class1,fixed_chsh_class2,delta_fixed_chsh,s_max_class1,s_max_class2
1.000000000000000e-03,9.900276293591046e-01,9.900276280266598e-01,1.332444821144918e-09,2.811030669421220e+00,2.811030665652497e+00,3.768722667274460e-09,2.811033841338960e+00,2.811033837564580e+00
2.000000000000000e-03,9.801103684122177e-01,9.801103577597730e-01,1.065244470410676e-08,2.793725009648782e+00,2.793724979519119e+00,3.012966232063263e-08,2.793737657176533e+00,2.793737626956347e+00
3.000000000000000e-03,9.702479940862720e-01,9.702479581582718e-01,3.592800024154741e-08,2.776509803602521e+00,2.776509701982791e+00,1.016197304082311e-07,2.776538170460229e+00,2.776538068382187e+00
4.000000000000000e-03,9.604402839251633e-01,9.604401988193851e-01,8.510577820253218e-08,2.759384710358770e+00,2.759384469643278e+00,2.407154915395893e-07,2.759434980616894e+00,2.759434738452808e+00
5.000000000000000e-03,9.506870160888879e-01,9.506868499777765e-01,1.661111114215075e-07,2.742349389895326e+00,2.742348920062152e+00,4.698331732555516e-07,2.742427688297072e+00,2.742427214927058e+00
6.000000000000000e-03,9.409879693527028e-01,9.409876825047027e-01,2.868480001305684e-07,2.725403503090271e+00,2.725402691761607e+00,8.113286646960205e-07,2.725515895373222e+00,2.725515076710106e+00
7.000000000000000e-03,9.313429231062609e-01,9.313424679071500e-01,4.551991108492359e-07,2.708546711720741e+00,2.708545424223228e+00,1.287497512603153e-06,2.708699204937870e+00,2.708697903851584e+00
8.000000000000000e-03,9.217516573527604e-01,9.217509783269826e-01,6.790257778277464e-07,2.691778678461724e+00,2.691776757886797e+00,1.920574927538610e-06,2.691977221301793e+00,2.691975277543751e+00
8.999999999999999e-03,9.122139527080948e-01,9.122129865400949e-01,9.661679999384276e-07,2.675099066884866e+00,2.675096334149088e+00,2.732735778110396e-06,2.675349549992195e+00,2.675346780119673e+00
1.000000000000000e-02,9.027295903999993e-01,9.027282659555549e-01,1.324444444450457e-06,2.658507541457251e+00,2.658503795362659e+00,3.746094591861038e-06,2.658815797750875e+00,2.658811995051384e+00
1.100000000000000e-02,8.932983522671925e-01,8.932965906147479e-01,1.761652444587369e-06,2.642003767540198e+00,2.641998784834640e+00,4.982705558376210e-06,2.642375572532374e+00,2.642370506948056e+00
1.200000000000000e-02,8.839200207585276e-01,8.839177351905274e-01,2.285568000193194e-06,2.625587411388055e+00,2.625580946825528e+00,6.464562526176110e-06,2.626028483502146e+00,2.626021901554191e+00
1.300000000000000e-02,8.745943789321384e-01,8.745914749863607e-01,2.903945777732453e-06,2.609258140146994e+00,2.609249926547987e+00,8.213599006712258e-06,2.609774141034698e+00,2.609765765747790e+00
1.400000000000000e-02,8.653212104545844e-01,8.653175859354735e-01,3.624519110956292e-06,2.593015621853798e+00,2.593005370165630e+00,1.025168816770616e-05,2.593612156711739e+00,2.593601687538546e+00
1.500000000000000e-02,8.561002996000007e-01,8.560958446000007e-01,4.455000000014309e-06,2.576859525434665e+00,2.576846924791824e+00,1.260064284114293e-05,2.577542143320323e+00,2.577529256066038e+00
1.600000000000000e-02,8.469314312492370e-01,8.469260281701256e-01,5.403079111343523e-06,2.560789520703985e+00,2.560774238488470e+00,1.528221551527764e-05,2.561563714850973e+00,2.561548061597912e+00
1.700000000000000e-02,8.378143908890163e-01,8.378079144632385e-01,6.476425777779404e-06,2.544805278363153e+00,2.544786960264811e+00,1.831809834174081e-05,2.545676486495824e+00,2.545657695528106e+00
1.800000000000000e-02,8.287489646110724e-01,8.287412819230724e-01,7.682687999999160e-06,2.528906469999347e+00,2.528884740076217e+00,2.172992312976518e-05,2.529880074646738e+00,2.529857750375029e+00
1.900000000000000e-02,8.197349391112951e-01,8.197259096188506e-01,9.029492444523335e-06,2.513092768084320e+00,2.513067228822968e+00,2.553926135284712e-05,2.514174096893412e+00,2.514147819779778e+00
2.000000000000000e-02,8.107721016888891e-01,8.107615772444446e-01,1.052444444449296e-05,2.497363845973216e+00,2.497334078349077e+00,2.976762413897660e-05,2.498558172021514e+00,2.498527498504368e+00
2.100000000000000e-02,8.018602402455027e-01,8.018480651175028e-01,1.217512799989162e-05,2.481719377903326e+00,2.481684941441044e+00,3.443646228262764e-05,2.483031920010761e+00,2.482996382429918e+00
2.200000000000000e-02,7.929991432843937e-01,7.929851541786155e-01,1.398910577821155e-05,2.466159038992920e+00,2.466119471826687e+00,3.956716623365608e-05,2.467594962033043e+00,2.467554068554913e+00
2.300000000000000e-02,7.841885999095609e-01,7.841726259904502e-01,1.597391911067891e-05,2.450682505240013e+00,2.450637324173911e+00,4.518106610174044e-05,2.452246920450499e+00,2.452200154993406e+00
2.400000000000000e-02,7.754283998248963e-01,7.754102627368967e-01,1.813708799958125e-05,2.435289453521163e+00,2.435238154089501e+00,5.129943166215511e-05,2.436987418813610e+00,2.436934240973255e+00
2.500000000000000e-02,7.667183333333329e-01,7.666978472222218e-01,2.048611111116205e-05,2.419979561590277e+00,2.419921618117929e+00,5.794347234777675e-05,2.421816081859284e+00,2.421755926834375e+00
2.600000000000000e-02,7.580581913359917e-01,7.580351628702140e-01,2.302846577773021e-05,2.404752508077389e+00,2.404687373740143e+00,6.513433724641970e-05,2.406732535508928e+00,2.406664814026981e+00
2.700000000000000e-02,7.494477653313267e-01,7.494219937233269e-01,2.577160799988043e-05,2.389607972487469e+00,2.389535079372354e+00,7.289311511504692e-05,2.391736406866519e+00,2.391660505109831e+00
2.800000000000000e-02,7.408868474142716e-01,7.408581244418271e-01,2.872297244449484e-05,2.374545635199198e+00,2.374464394364833e+00,8.124083436555907e-05,2.376827324216663e+00,2.376742603748490e+00
2.900000000000000e-02,7.323752302753845e-01,7.323433403029399e-01,3.188997244463199e-05,2.359565177463773e+00,2.359474979000703e+00,9.019846306967949e-05,2.362004917022646e+00,2.361910714713585e+00
3.000000000000000e-02,7.239127071999996e-01,7.238774271999995e-01,3.528000000008191e-05,2.344666281403696e+00,2.344566494494735e+00,9.978690896117470e-05,2.347268815924495e+00,2.347164443879087e+00
3.100000000000000e-02,7.154990720673695e-01,7.154601716415916e-01,3.890042577792130e-05,2.329848630011571e+00,2.329738602992136e+00,1.100270194345221e-04,2.332618652737010e+00,2.332503398220573e+00
3.200000000000000e-02,7.071341193498165e-01,7.070913607507054e-01,4.275859911107016e-05,2.315111907148896e+00,2.314990967567354e+00,1.209395815418013e-04,2.318054060447809e+00,2.317927185813523e+00
3.300000000000000e-02,6.988176441118723e-01,6.987707822638725e-01,4.686184799984616e-05,2.300455797544852e+00,2.300323252222853e+00,1.325453219984674e-04,2.303574673215343e+00,2.303435415831588e+00
3.400000000000000e-02,6.905494420094290e-01,6.904982245303177e-01,5.121747911129848e-05,2.285879986795097e+00,2.285735121887918e+00,1.448649071789099e-04,2.289180126366923e+00,2.289027698544897e+00
3.500000000000000e-02,6.823293092888884e-01,6.822734765111107e-01,5.583277777765350e-05,2.271384161360568e+00,2.271226242417452e+00,1.579189431160088e-04,2.274870056396745e+00,2.274703645318366e+00
3.600000000000000e-02,6.741570427863037e-01,6.740963277783036e-01,6.071500800008955e-05,2.256968008566265e+00,2.256796280590758e+00,1.717279755069079e-04,2.260644100963881e+00,2.260462868609991e+00
3.700000000000000e-02,6.660324399265267e-01,6.659665685140825e-01,6.587141244418504e-05,2.242631216600041e+00,2.242444904110338e+00,1.863124897028001e-04,2.246501898890287e+00,2.246304981969170e+00
3.800000000000000e-02,6.579552987223609e-01,6.578839895099164e-01,7.130921244447030e-05,2.228373474511415e+00,2.228171781600693e+00,2.016929107218068e-04,2.232443090158799e+00,2.232229600035031e+00
3.900000000000000e-02,6.499254177736949e-01,6.498483821656947e-01,7.703560800020881e-05,2.214194472210332e+00,2.213976582607093e+00,2.178896032387634e-04,2.218467315911101e+00,2.218236338534745e+00
4.000000000000000e-02,6.419425962666663e-01,6.418595384888883e-01,8.305777777795065e-05,2.200093900465995e+00,2.199858977594407e+00,2.349228715878837e-04,2.204574218445730e+00,2.204324814281891e+00
4.100000000000000e-02,6.340066339727930e-01,6.339172510936819e-01,8.938287911108844e-05,2.186071450905624e+00,2.185818637945859e+00,2.528129597649809e-04,2.190763441216019e+00,2.190494645174773e+00
4.200000000000000e-02,6.261173312481281e-01,6.260213132001282e-01,9.601804799985736e-05,2.172126816013271e+00,2.171855235961843e+00,2.715800514279110e-04,2.177034628828072e+00,2.176745450194788e+00
4.300000000000000e-02,6.182744890324043e-01,6.181715186332930e-01,1.029703991113351e-04,2.158259689128601e+00,2.157968444858709e+00,2.912442698921325e-04,2.163387427038717e+00,2.163076849404782e+00
4.400000000000000e-02,6.104779088481841e-01,6.103676618224063e-01,1.102470257777766e-04,2.144469764445700e+00,2.144157938767568e+00,3.118256781324824e-04,2.149821482753459e+00,2.149488463947430e+00
4.500000000000000e-02,6.027273928000003e-01,6.026095378000003e-01,1.178550000000556e-04,2.130756737011850e+00,2.130423392733063e+00,3.333442787871732e-04,2.136336444024401e+00,2.135979916043592e+00
4.600000000000000e-02,5.950227435735034e-01,5.948969422010588e-01,1.258013724445561e-04,2.117120302726328e+00,2.116764482712176e+00,3.558200141524637e-04,2.122931960048184e+00,2.122550828990709e+00
4.700000000000000e-02,5.873637644346162e-01,5.872296712621718e-01,1.340931724443939e-04,2.103560158339213e+00,2.103180885573027e+00,3.792727661857676e-04,2.109607681163919e+00,2.109200827161207e+00
4.800000000000000e-02,5.797502592286710e-01,5.796075218206711e-01,1.427374079998600e-04,2.090076001450157e+00,2.089672279093654e+00,4.037223565029890e-04,2.096363258851083e+00,2.095929536000882e+00
4.900000000000000e-02,5.721820323795621e-01,5.720302913137842e-01,1.517410657778662e-04,2.076667530507198e+00,2.076238341960814e+00,4.291885463838518e-04,2.083198345727435e+00,2.082736582027321e+00
5.000000000000000e-02,5.646588888888879e-01,5.644977777777769e-01,1.611111111110564e-04,2.063334444805538e+00,2.062878753768774e+00,4.556910367647937e-04,2.070112595546911e+00,2.069621592828319e+00
5.100000000000000e-02,5.571806343351036e-01,5.570097798471032e-01,1.708544880003604e-04,2.050076444486348e+00,2.049593195018103e+00,4.832494682442956e-04,2.057105663197511e+00,2.056584197060310e+00
5.200000000000000e-02,5.497470748726616e-01,5.495660967535503e-01,1.809781191113302e-04,2.036893230535551e+00,2.036381347114471e+00,5.118834210797729e-04,2.044177204699180e+00,2.043624024446805e+00
5.300000000000000e-02,5.423580172311597e-01,5.421665283253820e-01,1.914889057776925e-04,2.023784504782618e+00,2.023242892367428e+00,5.416124151897961e-04,2.031326877201674e+00,2.030740705776835e+00
5.400000000000000e-02,5.350132687144956e-01,5.348108749864957e-01,2.023937279999055e-04,2.010749969899376e+00,2.010177513989223e+00,5.724559101532023e-04,2.018554338982442e+00,2.017933872903423e+00
5.500000000000000e-02,5.277126371999995e-01,5.274989377555551e-01,2.136994444443818e-04,1.997789329398775e+00,1.997184896093565e+00,6.044333052095396e-04,2.005859249444448e+00,2.005203158742030e+00
5.600000000000000e-02,5.204559311375927e-01,5.202305182451477e-01,2.254128924450427e-04,1.984902287633702e+00,1.984264723694443e+00,6.375639392590671e-04,1.993241269114042e+00,1.992548197269050e+00
5.700000000000000e-02,5.132429595489273e-01,5.130054186609276e-01,2.375408879996543e-04,1.972088549795761e+00,1.971416682704906e+00,6.718670908547608e-04,1.980700059638780e+00,1.979968623520290e+00
5.800000000000000e-02,5.060735320265382e-01,5.058234418007606e-01,2.500902257775994e-04,1.959347821914080e+00,1.958640459935857e+00,7.073619782234086e-04,1.968235283785266e+00,1.967464073589466e+00
5.900000000000000e-02,4.989474587329848e-01,4.986843910538739e-01,2.630676791109954e-04,1.946679810854091e+00,1.945935743094849e+00,7.440677592418510e-04,1.955846605436949e+00,1.955034184626714e+00
6.000000000000000e-02,4.918645503999994e-01,4.915880703999995e-01,2.764799999998568e-04,1.934084224316328e+00,1.933302220784878e+00,7.820035314498597e-04,1.943533689591947e+00,1.942678594837104e+00
6.100000000000000e-02,4.848246183276381e-01,4.845342844085266e-01,2.903339191114851e-04,1.921560770835227e+00,1.920739582503178e+00,8.211883320483615e-04,1.931296202360843e+00,1.930396943479179e+00
6.200000000000000e-02,4.778274743834167e-01,4.775228382376389e-01,3.046361457777480e-04,1.909109159777901e+00,1.908247518640004e+00,8.616411378965516e-04,1.919133810964460e+00,1.918188870863476e+00
6.300000000000000e-02,4.708729310014722e-01,4.705535376334721e-01,3.193933680000760e-04,1.896729101342958e+00,1.895825720477443e+00,9.033808655152242e-04,1.907046183731667e+00,1.906054018351102e+00
6.400000000000000e-02,4.639608011816952e-01,4.636261889292511e-01,3.346122524440776e-04,1.884420306559273e+00,1.883473880188188e+00,9.464263710856624e-04,1.895032990097123e+00,1.893992028352269e+00
6.500000000000000e-02,4.570908984888882e-01,4.567405990444439e-01,3.502994444443130e-04,1.872182487284796e+00,1.871191690834346e+00,9.907964504500821e-04,1.883093900599058e+00,1.882002544324891e+00
6.600000000000000e-02,4.502630370519035e-01,4.498965754839035e-01,3.664615680000205e-04,1.860015356205334e+00,1.858978846366225e+00,1.036509839108524e-03,1.871228586877007e+00,1.870085210773155e+00
6.700000000000000e-02,4.434770315627939e-01,4.430939263370165e-01,3.831052257773915e-04,1.847918626833348e+00,1.846835041621127e+00,1.083585212220850e-03,1.859436721669562e+00,1.858239673246119e+00
6.800000000000000e-02,4.367326972759598e-01,4.363324602768487e-01,4.002369991110699e-04,1.835892013506751e+00,1.834759972322138e+00,1.132041184612298e-03,1.847717978812100e+00,1.846465578336322e+00
6.900000000000001e-02,4.300298500072954e-01,4.296119865592954e-01,4.178634480000443e-04,1.823935231387697e+00,1.822753335076933e+00,1.181896310763486e-03,1.836072033234505e+00,1.834762573678411e+00
7.000000000000001e-02,4.233683061333327e-01,4.229323150222219e-01,4.359911111107562e-04,1.812047996461371e+00,1.810814827376557e+00,1.233169084814190e-03,1.824498560958874e+00,1.823130307947757e+00
7.099999999999999e-02,4.167478825903927e-01,4.162932560846152e-01,4.546265057775445e-04,1.800230025534790e+00,1.798944147594220e+00,1.285877940570224e-03,1.812997239097231e+00,1.811568430859116e+00
7.199999999999999e-02,4.101683968737281e-01,4.096946207457280e-01,4.737761280000918e-04,1.788481036235588e+00,1.787140994984096e+00,1.340041251492785e-03,1.801567745849203e+00,1.800076593165277e+00
7.300000000000000e-02,4.036296670366715e-01,4.031362205842270e-01,4.934464524444793e-04,1.776800747010816e+00,1.775405069680112e+00,1.395677330704004e-03,1.790209760499708e+00,1.788654446655735e+00
7.400000000000000e-02,3.971315116897842e-01,3.966178677573396e-01,5.136439324445741e-04,1.765188877125732e+00,1.763736072694745e+00,1.452804430987387e-03,1.778922963416633e+00,1.777301644155374e+00
7.500000000000000e-02,3.906737500000000e-01,3.901393750000000e-01,5.343750000000869e-04,1.753645146662597e+00,1.752133705917810e+00,1.511440744786707e-03,1.767707036048483e+00,1.766017839523164e+00
7.600000000000000e-02,3.842562016897705e-01,3.837005556239930e-01,5.556460657775153e-04,1.742169276519458e+00,1.740597672115254e+00,1.571604404204008e-03,1.756561660922034e+00,1.754802687650859e+00
7.700000000000000e-02,3.778786870362164e-01,3.773012235171053e-01,5.774635191111432e-04,1.730760988408957e+00,1.729127674927952e+00,1.633313481005372e-03,1.745486521639980e+00,1.743655844461732e+00
7.800000000000000e-02,3.715410268702720e-01,3.709411931422720e-01,5.998337279999877e-04,1.719420004857114e+00,1.717723418870501e+00,1.696585986612709e-03,1.734481302878557e+00,1.732576966909309e+00
7.900000000000000e-02,3.652430425758297e-01,3.646202795367187e-01,6.227630391110739e-04,1.708146049202121e+00,1.706384609330010e+00,1.761439872111081e-03,1.723545690385161e+00,1.721565712976108e+00
8.000000000000000e-02,3.589845560888887e-01,3.583382983111111e-01,6.462577777776590e-04,1.696938845593135e+00,1.695110952564891e+00,1.827893028244265e-03,1.712679370975960e+00,1.710621741672409e+00
8.100000000000000e-02,3.527653898967034e-01,3.520950656487033e-01,6.703242480001204e-04,1.685798118989078e+00,1.683902155703659e+00,1.895963285418523e-03,1.701882032533492e+00,1.699744713035031e+00
8.200000000000000e-02,3.465853670369282e-01,3.458903983044836e-01,6.949687324445120e-04,1.674723595157423e+00,1.672757926743726e+00,1.965668413696831e-03,1.691153364004257e+00,1.688934288126124e+00
8.300000000000000e-02,3.404443110967610e-01,3.397241136043164e-01,7.201974924445631e-04,1.663715000672986e+00,1.661677974550182e+00,2.037026122804209e-03,1.680493055396282e+00,1.678190129031964e+00
8.400000000000001e-02,3.343420462120960e-01,3.335960294440963e-01,7.460167679997354e-04,1.652772062916726e+00,1.650662008854599e+00,2.110054062126387e-03,1.669900797776700e+00,1.667511898861783e+00
8.500000000000001e-02,3.282783970666673e-01,3.275059642888894e-01,7.724327777778872e-04,1.641894510074534e+00,1.639709740253824e+00,2.184769820710031e-03,1.659376283269305e+00,1.656899261746596e+00
8.599999999999999e-02,3.222531888911924e-01,3.214537371720811e-01,7.994517191112216e-04,1.631082071136023e+00,1.628820880208764e+00,2.261190927258960e-03,1.648919205052086e+00,1.646351882838052e+00
8.699999999999999e-02,3.162662474625275e-01,3.154391676945275e-01,8.270797679999498e-04,1.620334475893334e+00,1.617995141043195e+00,2.339334850139707e-03,1.638529257354785e+00,1.635869428307304e+00
8.799999999999999e-02,3.103173991028057e-01,3.094620760236946e-01,8.553230791110700e-04,1.609651454939914e+00,1.607232235942535e+00,2.419218997379291e-03,1.628206135456401e+00,1.625451565343870e+00
8.900000000000000e-02,3.044064706785847e-01,3.035222828928072e-01,8.841877857774794e-04,1.599032739669312e+00,1.596531878952649e+00,2.500860716662556e-03,1.617949535682706e+00,1.615097962154539e+00
9.000000000000000e-02,2.985332895999999e-01,2.976196096000002e-01,9.136799999996947e-04,1.588478062273982e+00,1.585893784978645e+00,2.584277295337500e-03,1.607759155403764e+00,1.604808287962279e+00
9.100000000000000e-02,2.926976838199040e-01,2.917538780074592e-01,9.438058124447979e-04,1.577987155744069e+00,1.575317669783657e+00,2.669485960411944e-03,1.597634693031407e+00,1.594582213005155e+00
9.200000000000000e-02,2.868994818330173e-01,2.859249105405730e-01,9.745712924443262e-04,1.567559753866201e+00,1.564803249987653e+00,2.756503878548200e-03,1.587575848016730e+00,1.584419408535277e+00
9.300000000000000e-02,2.811385126750719e-01,2.801325301870721e-01,1.005982487999768e-03,1.557195591222283e+00,1.554350243066206e+00,2.845348156077954e-03,1.577582320847553e+00,1.574319546817740e+00
