p,delta_Q,delta_fixed_chsh,delta_s_max,delta_diqkd_rate
0.001,-1.332444445143605e-09,3.768723111363670e-09,3.774379919718740e-09,2.147958677589656e-08
0.002,-1.065244444476560e-08,3.012966320881105e-08,3.022018590925768e-08,1.506755916702573e-07
0.003,-3.592799999781876e-08,1.016197299641419e-07,1.020780420191159e-07,4.668853619271829e-07
0.004,-8.510577778099437e-08,2.407154919836785e-07,2.421640861172136e-07,1.036821838718005e-06
0.005,-1.661111111109920e-07,4.698331741437300e-07,4.733700138537245e-07,1.919401331651471e-06
0.006,-2.868480000004642e-07,8.113286638078421e-07,8.186631159645685e-07,3.167820557981038e-06
0.007,-4.551991111198528e-07,1.287497513047242e-06,1.301086285820929e-06,4.830748847495236e-06
0.008,-6.790257777895825e-07,1.920574927094520e-06,1.943758042077803e-06,6.953106249873997e-06
0.009,-9.661680000078166e-07,2.732735778110396e-06,2.769872522012662e-06,9.576612647443916e-06
0.01,-1.324444444450457e-06,3.746094592305127e-06,3.802699490851325e-06,1.274019651020808e-05
0.011,-1.761652444452061e-06,4.982705557932121e-06,5.065584317787142e-06,1.648031127743366e-05
0.012,-2.285567999991966e-06,6.464562527064288e-06,6.581947955108802e-06,2.083118765139336e-05
0.013,-2.903945777760208e-06,8.213599007156347e-06,8.375286908002266e-06,2.582503961640059e-05
0.014,-3.624519111143643e-06,1.025168816815025e-05,1.046917319280638e-05,3.149223591286665e-05
0.015,-4.455000000014309e-06,1.260064284069884e-05,1.288725428505444e-05,3.786144508149958e-05
0.016,-5.403079111086784e-06,1.528221551483355e-05,1.565325306129850e-05,4.495975978208167e-05
0.017,-6.476425777793282e-06,1.831809834218490e-05,1.879096771784106e-05,5.281280461810756e-05
0.018,-7.682687999992222e-06,2.172992313020927e-05,2.232427170900664e-05,6.144483054959515e-05
0.019,-9.029492444419251e-06,2.553926135195894e-05,2.627711363389906e-05,7.087879833342359e-05
0.02,-1.052444444444439e-05,2.976762413897660e-05,3.067351714580724e-05,8.113645278848280e-05
0.021,-1.217512800000958e-05,3.443646228218356e-05,3.553758084295922e-05,9.223838939381723e-05
0.022,-1.398910577777440e-05,3.956716623321199e-05,4.089347812996635e-05,1.042041143377859e-04
0.023,-1.597391911110912e-05,4.518106610218453e-05,4.676545709303426e-05,1.170520989925983e-04
0.024,-1.813708799999064e-05,5.129943166171103e-05,5.317784035474560e-05,1.307998295699830e-04
0.025,-2.048611111111348e-05,5.794347234822084e-05,6.015502490885893e-05,1.454638525718588e-04
0.026,-2.302846577776491e-05,6.513433724597562e-05,6.772148194711392e-05,1.610598165947622e-04
0.027,-2.577160799999839e-05,7.289311511504692e-05,7.590175668781285e-05,1.776025109214707e-04
0.028,-2.872297244444627e-05,8.124083436511498e-05,8.472046817287193e-05,1.951059012454993e-04
0.029,-3.188997244443770e-05,9.019846307012358e-05,9.420230906087568e-05,2.135831628851115e-04
0.03,-3.527999999999865e-05,9.978690896117470e-05,1.043720454081409e-04,2.330467117385160e-04
0.031,-3.890042577778252e-05,1.100270194349662e-04,1.152545164369023e-04,2.535082332127958e-04
0.032,-4.275859911113955e-05,1.209395815418013e-04,1.268746342861782e-04,2.749787093373063e-04
0.033,-4.686184799998494e-05,1.325453219989114e-04,1.392573837546429e-04,2.974684442370035e-04
0.034,-5.121747911111807e-05,1.448649071793540e-04,1.524278220261799e-04,3.209870881146215e-04
0.035,-5.583277777779228e-05,1.579189431160088e-04,1.664110783790029e-04,3.455436598785999e-04
0.036,-6.071500799997853e-05,1.717279755069079e-04,1.812323538898930e-04,3.711465685495019e-04
0.037,-6.587141244446260e-05,1.863124897028001e-04,1.969169211171184e-04,3.978036335219037e-04
0.038,-7.130921244449806e-05,2.016929107218068e-04,2.134901237682563e-04,4.255221038118040e-04
0.039,-7.703560800001452e-05,2.178896032392075e-04,2.309773763560230e-04,4.543086763410809e-04
0.04,-8.305777777777024e-05,2.349228715878837e-04,2.494041638390065e-04,4.841695133516732e-04
0.041,-8.938287911117171e-05,2.528129597649809e-04,2.687960412459667e-04,5.151102590176815e-04
0.042,-9.601804799995450e-05,2.715800514283551e-04,2.891786332841484e-04,5.471360553025995e-04
0.043,-1.029703991110992e-04,2.912442698921325e-04,3.105776339351607e-04,5.802515571285971e-04
0.044,-1.102470257777627e-04,3.118256781320383e-04,3.330188060290951e-04,6.144609469010964e-04
0.045,-1.178549999999445e-04,3.333442787871732e-04,3.565279808088739e-04,6.497679484381846e-04
0.046,-1.258013724444590e-04,3.558200141520196e-04,3.811310574750593e-04,6.861758403385876e-04
0.047,-1.340931724444633e-04,3.792727661862116e-04,4.068540027120093e-04,7.236874688266171e-04
0.048,-1.427374079999988e-04,4.037223565029890e-04,4.337228502011570e-04,7.623052601171132e-04
0.049,-1.517410657777968e-04,4.291885463842959e-04,4.617637001138597e-04,8.020312323206991e-04
0.05,-1.611111111110980e-04,4.556910367639055e-04,4.910027185918153e-04,8.428670069161592e-04
0.051,-1.708544879999996e-04,4.832494682447397e-04,5.214661372012763e-04,8.848138198263023e-04
0.052,-1.809781191110943e-04,5.118834210802170e-04,5.531802523752738e-04,9.278725321146819e-04
0.053,-1.914889057778035e-04,5.416124151897961e-04,5.861714248389660e-04,9.720436403249377e-04
0.054,-2.023937279999055e-04,5.724559101532023e-04,6.204660790189997e-04,1.017327286484071e-03
0.055,-2.136994444443957e-04,6.044333052099837e-04,6.560907024177887e-04,
0.056,-2.254128924444043e-04,6.375639392588450e-04,6.930718449920104e-04,
0.057,-2.375408880000984e-04,6.718670908549829e-04,7.314361184900253e-04,
0.058,-2.500902257777937e-04,7.073619782231866e-04,7.712101957999540e-04,
0.059,-2.630676791111064e-04,7.440677592420730e-04,8.124208102349151e-04,
0.06,-2.764800000000095e-04,7.820035314500817e-04,8.550947548431331e-04,
0.061,-2.903339191111798e-04,8.211883320490276e-04,8.992588816640890e-04,
0.062,-3.046361457776925e-04,8.616411378969957e-04,9.449401009840042e-04,
0.063,-3.193933679999927e-04,9.033808655150022e-04,9.921653805649022e-04,
0.064,-3.346122524444939e-04,9.464263710849963e-04,1.040961744853908e-03,
0.065,-3.502994444446184e-04,9.907964504500821e-04,1.091356274167010e-03,
0.066,-3.664615680001038e-04,1.036509839109190e-03,1.143376103852178e-03,
0.067,-3.831052257776968e-04,1.083585212221072e-03,1.197048423442926e-03,
0.068,-4.002369991110977e-04,1.132041184612964e-03,1.252400475778126e-03,
0.069,-4.178634479999888e-04,1.181896310764152e-03,1.309459556094072e-03,
0.07,-4.359911111110892e-04,1.233169084813968e-03,1.368253011116982e-03,
0.071,-4.546265057779053e-04,1.285877940570002e-03,1.428808238115087e-03,
0.072,-4.737761280001196e-04,1.340041251492119e-03,1.491152683926078e-03,
0.073,-4.934464524443960e-04,1.395677330704004e-03,1.555313843973005e-03,
0.074,-5.136439324443798e-04,1.452804430986943e-03,1.621319261259080e-03,
0.075,-5.343749999999758e-04,1.511440744787151e-03,1.689196525318959e-03,
0.076,-5.556460657777929e-04,1.571604404204008e-03,1.758973271175135e-03,
0.077,-5.774635191111988e-04,1.633313481004928e-03,1.830677178247919e-03,
0.078,-5.998337279999044e-04,1.696585986612931e-03,1.904335969248105e-03,
0.079,-6.227630391112127e-04,1.761439872111081e-03,1.979977409052980e-03,
0.08,-6.462577777776868e-04,1.827893028243821e-03,2.057629303551023e-03,
0.081,-6.703242479999816e-04,1.895963285418967e-03,2.137319498461077e-03,
0.082,-6.949687324444009e-04,1.965668413697053e-03,2.219075878133081e-03,
0.083,-7.201974924444243e-04,2.037026122803987e-03,2.302926364317948e-03,
0.084,-7.460167679999019e-04,2.110054062127054e-03,2.388898914917004e-03,
0.085,-7.724327777778039e-04,2.184769820709809e-03,2.477021522709011e-03,
0.086,-7.994517191111938e-04,2.261190927258960e-03,2.567322214034107e-03,
0.087,-8.270797679998942e-04,2.339334850139041e-03,2.659829047480855e-03,
0.088,-8.553230791112088e-04,2.419218997378847e-03,2.754570112531107e-03,
0.089,-8.841877857778124e-04,2.500860716663000e-03,2.851573528167117e-03,
0.09,-9.136800000001111e-04,2.584277295337056e-03,2.950867441485094e-03,
0.091,-9.438058124444926e-04,2.669485960411944e-03,3.052480026251914e-03,
0.092,-9.745712924446037e-04,2.756503878547978e-03,3.156439481452944e-03,
0.093,-1.005982487999907e-03,2.845348156077065e-03,3.262774029813009e-03,
0.094,-1.038045425777817e-03,2.936035838988937e-03,3.371511916276049e-03,
0.095,-1.070766111111010e-03,3.028583912927152e-03,3.482681406487886e-03,
0.096,-1.104150528000003e-03,3.123009303197977e-03,3.596310785211942e-03,
0.097,-1.138204639111101e-03,3.219328874773053e-03,3.712428354760045e-03,
0.098,-1.172934385777785e-03,3.317559432282069e-03,3.831062433368171e-03,
0.099,-1.208345688000018e-03,3.417717720008984e-03,3.952241353557984e-03,
0.1,-1.244444444444492e-03,3.519820421906017e-03,4.075993460465943e-03,
