d,q,gamma,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,diqkd_rate_raw,chsh_valid,chsh_sensitive,regime,shared_p,p
0.0001,0.0001,0.0001,1,9.992335644102244e-01,-9.992335644102244e-01,9.995334244382224e-01,2.332877808888000e-04,2.826683383653106e+00,2.826683415462836e+00,9.893833667042278e-01,True,True,unmasked,True,0.0001
0.0001,0.0001,0.0001,2,9.992335644102245e-01,-9.992335644102245e-01,9.995334244355558e-01,2.332877822220445e-04,2.826683383649335e+00,2.826683415459065e+00,9.893833666739179e-01,True,True,unmasked,True,0.0001
0.0002,0.0002,0.0002,1,9.984675908373735e-01,-9.984675908373735e-01,9.990670310613367e-01,4.664844693319113e-04,2.824940553598968e+00,2.824940680797600e+00,9.804677662406091e-01,True,True,unmasked,True,0.0002
0.0002,0.0002,0.0002,2,9.984675908373735e-01,-9.984675908373735e-01,9.990670310400058e-01,4.664844799971557e-04,2.824940553568802e+00,2.824940680767425e+00,9.804677660194269e-01,True,True,unmasked,True,0.0002
0.0003,0.0003,0.0003,1,9.977020790762018e-01,-9.977020790762018e-01,9.986008198320147e-01,6.995900839928001e-04,2.823198634240725e+00,2.823198920347022e+00,9.721948087885061e-01,True,True,unmasked,True,0.0003
0.0003,0.0003,0.0003,2,9.977020790762013e-01,-9.977020790762013e-01,9.986008197600285e-01,6.995901199855999e-04,2.823198634138921e+00,2.823198920245172e+00,9.721948080840349e-01,True,True,unmasked,True,0.0003
0.0004,0.0004,0.0004,1,9.969370289215261e-01,-9.969370289215261e-01,9.981347907129345e-01,9.326046435328004e-04,2.821457625235423e+00,2.821458133707770e+00,9.643395052587614e-01,True,True,unmasked,True,0.0004
0.0004,0.0004,0.0004,2,9.969370289215262e-01,-9.969370289215262e-01,9.981347905423132e-01,9.326047288433779e-04,2.821457624994129e+00,2.821458133466331e+00,9.643395036595321e-01,True,True,unmasked,True,0.0004
0.0005,0.0005,0.0005,1,9.961724401682227e-01,-9.961724401682227e-01,9.976689436667784e-01,1.165528166611112e-03,2.819717526240198e+00,2.819718320476637e+00,9.567949936954160e-01,True,True,unmasked,True,0.0005
0.0005,0.0005,0.0005,2,9.961724401682227e-01,-9.961724401682227e-01,9.976689433335564e-01,1.165528333222223e-03,2.819717525768951e+00,2.819718320005036e+00,9.567949906788372e-01,True,True,unmasked,True,0.0005
0.0006,0.0006,0.0006,1,9.954083126112245e-01,-9.954083126112245e-01,9.972032786562300e-01,1.398360671884799e-03,2.817978336912268e+00,2.817979480250529e+00,9.494983292940589e-01,True,True,unmasked,True,0.0006
0.0006,0.0006,0.0006,2,9.954083126112245e-01,-9.954083126112245e-01,9.972032780804601e-01,1.398360959769598e-03,2.817978336098007e+00,2.817979479435534e+00,9.494983242322729e-01,True,True,unmasked,True,0.0006
0.0007,0.0007,0.0007,1,9.946446460455297e-01,-9.946446460455297e-01,9.967377956439819e-01,1.631102178008799e-03,2.816240056908956e+00,2.816241612626488e+00,9.424079170675620e-01,True,True,unmasked,True,0.0007
0.0007,0.0007,0.0007,2,9.946446460455298e-01,-9.946446460455298e-01,9.967377947297421e-01,1.631102635128712e-03,2.816240055616026e+00,2.816241611332200e+00,9.424079092320804e-01,True,True,unmasked,True,0.0007
0.0008,0.0008,0.0008,1,9.938814402661924e-01,-9.938814402661924e-01,9.962724945927284e-01,1.863752703635911e-03,2.814502685887667e+00,2.814504717201674e+00,9.354941913699253e-01,True,True,unmasked,True,0.0008
0.0008,0.0008,0.0008,2,9.938814402661922e-01,-9.938814402661922e-01,9.962724932281233e-01,1.863753385938490e-03,2.814502683957823e+00,2.814504715269514e+00,9.354941799354517e-01,True,True,unmasked,True,0.0008
0.0009,0.0009,0.0009,1,9.931186950683244e-01,-9.931186950683244e-01,9.958073754651657e-01,2.096312267416798e-03,2.812766223505889e+00,2.812768793573360e+00,9.287350440972658e-01,True,True,unmasked,True,0.0009
0.0009,0.0009,0.0009,2,9.931186950683244e-01,-9.931186950683244e-01,9.958073735223323e-01,2.096313238833599e-03,2.812766220758307e+00,2.812768790822066e+00,9.287350281449811e-01,True,True,unmasked,True,0.0009
0.001,0.001,0.001,1,9.923564102471044e-01,-9.923564102471044e-01,9.953424382240003e-01,2.328780888000000e-03,2.811030669421220e+00,2.811033841338960e+00,9.221133134309875e-01,True,True,unmasked,True,0.001
0.001,0.001,0.001,2,9.923564102471042e-01,-9.923564102471042e-01,9.953424355591112e-01,2.328782220444445e-03,2.811030665652497e+00,2.811033837564580e+00,9.221132919514007e-01,True,True,unmasked,True,0.001
0.0011,0.0011,0.0011,1,9.915945855977608e-01,-9.915945855977608e-01,9.948776828319355e-01,2.561158584031910e-03,2.809296023291323e+00,2.809299860095989e+00,9.156152880474526e-01,True,True,unmasked,True,0.0011
0.0011,0.0011,0.0011,2,9.915945855977609e-01,-9.915945855977609e-01,9.948776792852048e-01,2.561160357397154e-03,2.809296018275489e+00,2.809299855071872e+00,9.156152599429446e-01,True,True,unmasked,True,0.0011
0.0012,0.0012,0.0012,1,9.908332209155920e-01,-9.908332209155920e-01,9.944131092516864e-01,2.793445374156799e-03,2.807562284773980e+00,2.807566849442109e+00,9.092297599936983e-01,True,True,unmasked,True,0.0012
0.0012,0.0012,0.0012,2,9.908332209155919e-01,-9.908332209155919e-01,9.944131046473730e-01,2.793447676313600e-03,2.807562278262498e+00,2.807566842918895e+00,9.092297240807885e-01,True,True,unmasked,True,0.0012
0.0013,0.0013,0.0013,1,9.900723159959477e-01,-9.900723159959477e-01,9.939487174459662e-01,3.025641277016799e-03,2.805829453527038e+00,2.805834808975084e+00,9.029473955218830e-01,True,True,unmasked,True,0.0013
0.0013,0.0013,0.0013,2,9.900723159959478e-01,-9.900723159959478e-01,9.939487115923773e-01,3.025644203811378e-03,2.805829445248814e+00,2.805834800680700e+00,9.029473505333051e-01,True,True,unmasked,True,0.0013
