d,q,gamma,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,diqkd_rate_raw,chsh_valid,chsh_sensitive,regime,shared_p,p
0.01,0.0,0.01,1,9.637759999999997e-01,-9.637759999999997e-01,9.542382399999996e-01,2.288088000000000e-02,2.712481751032723e+00,2.725970180579383e+00,5.916985659614886e-01,True,False,masked,True,0.01
0.01,0.0,0.01,2,9.637759999999996e-01,-9.637759999999996e-01,9.542355911111107e-01,2.288220444444445e-02,2.712478004938131e+00,2.725970180579383e+00,5.916851332849384e-01,True,False,masked,True,0.01
0.02,0.0,0.02,1,9.284302222222223e-01,-9.284302222222223e-01,9.102616177777775e-01,4.486919111111111e-02,2.600302937152740e+00,2.625997223967466e+00,3.177988840954862e-01,True,False,masked,True,0.02
0.02,0.0,0.02,2,9.284302222222223e-01,-9.284302222222223e-01,9.102405688888888e-01,4.487971555555557e-02,2.600273169528601e+00,2.625997223967466e+00,3.177124357910437e-01,True,False,masked,True,0.02
0.03,0.0,0.03,1,8.939519999999996e-01,-8.939519999999996e-01,8.680334399999997e-01,6.598327999999999e-02,2.491823705951924e+00,2.528478085021105e+00,9.616782496897114e-02,True,False,masked,True,0.03
0.03,0.0,0.03,2,8.939519999999997e-01,-8.939519999999997e-01,8.679628799999998e-01,6.601855999999998e-02,2.491723919042963e+00,2.528478085021105e+00,9.591741276204546e-02,True,False,masked,True,0.03
0.04,0.0,0.04,1,8.603306666666664e-01,-8.603306666666664e-01,8.275174400000000e-01,8.624127999999998e-02,2.386977683673750e+00,2.433382593850972e+00,-9.116446544058943e-02,True,False,masked,True,0.04
0.04,0.0,0.04,2,8.603306666666665e-01,-8.603306666666665e-01,8.273513244444441e-01,8.632433777777775e-02,2.386742760802162e+00,2.433382593850972e+00,-9.168869867594553e-02,True,False,masked,True,0.04
0.05,0.0,0.05,1,8.275555555555549e-01,-8.275555555555549e-01,7.886777777777775e-01,1.056611111111111e-01,2.285699099959474e+00,2.340680580567734e+00,-2.529547941226923e-01,True,False,masked,True,0.05
0.05,0.0,0.05,2,8.275555555555550e-01,-8.275555555555550e-01,7.883555555555550e-01,1.058222222222222e-01,2.285243408922709e+00,2.340680580567735e+00,-2.538740168856362e-01,True,False,masked,True,0.05
0.06,0.0,0.06,1,7.956159999999995e-01,-7.956159999999995e-01,7.514790399999997e-01,1.242604799999999e-01,2.187922787848144e+00,2.250341875282063e+00,-3.944941235120691e-01,True,False,masked,True,0.06
0.06,0.0,0.06,2,7.956159999999997e-01,-7.956159999999997e-01,7.509260799999997e-01,1.245369600000000e-01,2.187140784316695e+00,2.250341875282064e+00,-3.959354088639415e-01,True,False,masked,True,0.06
0.07,0.0,0.07,1,7.645013333333331e-01,-7.645013333333331e-01,7.158862399999997e-01,1.420568799999999e-01,2.093584183776594e+00,2.162336308104628e+00,-5.193669170111205e-01,True,False,masked,True,0.07
0.07,0.0,0.07,2,7.645013333333330e-01,-7.645013333333330e-01,7.150142577777778e-01,1.424928711111110e-01,2.092351014691779e+00,2.162336308104628e+00,-5.214591534943327e-01,True,False,masked,True,0.07
0.08,0.0,0.08,1,7.342008888888888e-01,-7.342008888888888e-01,6.818648177777776e-01,1.590675911111111e-01,2.002619327579440e+00,2.076633709146097e+00,-6.301827535894255e-01,True,False,masked,True,0.08
0.08,0.0,0.08,2,7.342008888888888e-01,-7.342008888888888e-01,6.805723022222223e-01,1.597138488888888e-01,2.000791434551196e+00,2.076633709146097e+00,-6.330534629955773e-01,True,False,masked,True,0.08
0.09,0.0,0.09,1,7.047039999999999e-01,-7.047039999999999e-01,6.493806400000000e-01,1.753096800000000e-01,1.914964862489089e+00,1.993203908517139e+00,,False,False,masked,True,0.09
0.09,0.0,0.09,2,7.047040000000000e-01,-7.047040000000000e-01,6.475532800000001e-01,1.762233600000001e-01,1.912380585193752e+00,1.993203908517139e+00,,False,False,masked,True,0.09
0.1,0.0,0.1,1,6.759999999999995e-01,-6.759999999999995e-01,6.183999999999996e-01,1.907999999999999e-01,1.830558035135733e+00,1.912016736328423e+00,,False,False,masked,True,0.1
0.1,0.0,0.1,2,6.759999999999995e-01,-6.759999999999995e-01,6.159111111111111e-01,1.920444444444443e-01,1.827038214713827e+00,1.912016736328423e+00,,False,False,masked,True,0.1
0.11,0.0,0.11,1,6.480782222222221e-01,-6.480782222222221e-01,5.888896177777777e-01,2.055551911111111e-01,1.749336695547352e+00,1.833042022690622e+00,,False,False,masked,True,0.11
0.11,0.0,0.11,2,6.480782222222220e-01,-6.480782222222220e-01,5.856005688888887e-01,2.071997155555556e-01,1.744685278001377e+00,1.833042022690622e+00,,False,False,masked,True,0.11
0.12,0.0,0.12,1,6.209280000000000e-01,-6.209280000000000e-01,5.608166400000002e-01,2.195916800000000e-01,1.671239297149711e+00,1.756249597714403e+00,,False,False,masked,True,0.12
0.12,0.0,0.12,2,6.209280000000000e-01,-6.209280000000000e-01,5.565772800000001e-01,2.217113600000000e-01,1.665243936741929e+00,1.756249597714403e+00,,False,False,masked,True,0.12
0.13,0.0,0.13,1,5.945386666666663e-01,-5.945386666666663e-01,5.341486399999994e-01,2.329256799999999e-01,1.596204896766359e+00,1.681609291510433e+00,,False,False,masked,True,0.13
0.13,0.0,0.13,2,5.945386666666661e-01,-5.945386666666661e-01,5.287977244444437e-01,2.356011377777777e-01,1.588637559416579e+00,1.681609291510432e+00,,False,False,masked,True,0.13
0.14,0.0,0.14,1,5.688995555555553e-01,-5.688995555555553e-01,5.088536177777774e-01,2.455731911111110e-01,1.524173154618640e+00,1.609090934189385e+00,,False,False,masked,True,0.14
0.14,0.0,0.14,2,5.688995555555554e-01,-5.688995555555554e-01,5.022192355555559e-01,2.488903822222222e-01,1.514790721302008e+00,1.609090934189385e+00,,False,False,masked,True,0.14
0.15,0.0,0.15,1,5.439999999999999e-01,-5.439999999999999e-01,4.848999999999998e-01,2.575499999999999e-01,1.455084334325677e+00,1.538664355861927e+00,,False,False,masked,True,0.15
0.15,0.0,0.15,2,5.440000000000002e-01,-5.440000000000002e-01,4.768000000000004e-01,2.616000000000000e-01,1.443629204470456e+00,1.538664355861928e+00,,False,False,masked,True,0.15
0.16,0.0,0.16,1,5.198293333333333e-01,-5.198293333333333e-01,4.622566399999997e-01,2.688716799999999e-01,1.388879302904381e+00,1.470299386638729e+00,,False,False,masked,True,0.16
0.16,0.0,0.16,2,5.198293333333331e-01,-5.198293333333331e-01,4.524990577777773e-01,2.737504711111111e-01,1.375079997789743e+00,1.470299386638728e+00,,False,False,masked,True,0.16
0.17,0.0,0.17,1,4.963768888888889e-01,-4.963768888888889e-01,4.408928177777780e-01,2.795535911111112e-01,1.325499530769453e+00,1.403965856630459e+00,,False,False,masked,True,0.17
0.17,0.0,0.17,2,4.963768888888890e-01,-4.963768888888890e-01,4.292763022222224e-01,2.853618488888889e-01,1.309071296923268e+00,1.403965856630459e+00,,False,False,masked,True,0.17
0.18,0.0,0.18,1,4.736320000000002e-01,-4.736320000000002e-01,4.207782400000003e-01,2.896108800000001e-01,1.264887091733376e+00,1.339633595947788e+00,,False,False,masked,True,0.18
0.18,0.0,0.18,2,4.736320000000002e-01,-4.736320000000002e-01,4.070924800000002e-01,2.964537600000000e-01,1.245532504329992e+00,1.339633595947788e+00,,False,False,masked,True,0.18
0.19,0.0,0.19,1,4.515839999999999e-01,-4.515839999999999e-01,4.018830399999999e-01,2.990584799999999e-01,1.206984663006420e+00,1.277272434701383e+00,,False,False,masked,True,0.19
0.19,0.0,0.19,2,4.515839999999999e-01,-4.515839999999999e-01,3.859091911111109e-01,3.070454044444444e-01,1.184394229264455e+00,1.277272434701383e+00,,False,False,masked,True,0.19
0.2,0.0,0.2,1,4.302222222222220e-01,-4.302222222222220e-01,3.841777777777777e-01,3.079111111111110e-01,1.151735525196648e+00,1.216852203001916e+00,,False,False,masked,True,0.2
0.2,0.0,0.2,2,4.302222222222220e-01,-4.302222222222220e-01,3.656888888888886e-01,3.171555555555552e-01,1.125588287776772e+00,1.216852203001916e+00,,False,False,masked,True,0.2
0.21,0.0,0.21,1,4.095359999999999e-01,-4.095359999999999e-01,3.676334400000001e-01,3.161832799999999e-01,1.099083562309903e+00,1.158342730960055e+00,,False,False,masked,True,0.21
0.21,0.0,0.21,2,4.095360000000000e-01,-4.095360000000000e-01,3.463948799999998e-01,3.268025600000000e-01,1.069047702712628e+00,1.158342730960056e+00,,False,False,masked,True,0.21
0.22,0.0,0.22,1,3.895146666666665e-01,-3.895146666666665e-01,3.522214400000001e-01,3.238892800000000e-01,1.048973261749817e+00,1.101713848686470e+00,,False,False,masked,True,0.22
0.22,0.0,0.22,2,3.895146666666666e-01,-3.895146666666666e-01,3.279913244444443e-01,3.360043377777777e-01,1.014706703713282e+00,1.101713848686470e+00,,False,False,masked,True,0.22
0.23,0.0,0.23,1,3.701475555555555e-01,-3.701475555555555e-01,3.379136177777776e-01,3.310431911111110e-01,1.001349714317807e+00,1.046935386291830e+00,,False,False,masked,True,0.23
0.23,0.0,0.23,2,3.701475555555555e-01,-3.701475555555555e-01,3.104432355555554e-01,3.447783822222221e-01,9.625007272155668e-01,1.046935386291830e+00,,False,False,masked,True,0.23
0.24,0.0,0.24,1,3.514239999999998e-01,-3.514239999999998e-01,3.246822399999997e-01,3.376588799999998e-01,9.561586142130780e-01,9.939771738868045e-01,,False,False,masked,True,0.24
0.24,0.0,0.24,2,3.514239999999997e-01,-3.514239999999997e-01,2.937164799999998e-01,3.531417599999997e-01,9.123664164518877e-01,9.939771738868044e-01,,False,False,masked,True,0.24
0.25,0.0,0.25,1,3.333333333333331e-01,-3.333333333333331e-01,3.124999999999998e-01,3.437499999999998e-01,9.133462590326232e-01,9.428090415820627e-01,,False,False,masked,True,0.25
0.25,0.0,0.25,2,3.333333333333331e-01,-3.333333333333331e-01,2.777777777777778e-01,3.611111111111108e-01,8.642416214502244e-01,9.428090415820627e-01,,False,False,masked,True,0.25
0.26,0.0,0.26,1,3.158648888888888e-01,-3.158648888888888e-01,3.013400177777779e-01,3.493299911111111e-01,8.728595497712202e-01,8.934008194882745e-01,,False,False,masked,True,0.26
0.26,0.0,0.26,2,3.158648888888889e-01,-3.158648888888889e-01,2.625947022222221e-01,3.687026488888888e-01,8.180653990341282e-01,8.934008194882748e-01,,False,False,masked,True,0.26
0.27,0.0,0.27,1,2.990079999999999e-01,-2.990079999999999e-01,2.911758400000000e-01,3.544120799999999e-01,8.346459908214326e-01,8.457223377161086e-01,,False,False,masked,True,0.27
0.27,0.0,0.27,2,2.990080000000000e-01,-2.990080000000000e-01,2.481356800000001e-01,3.759321600000000e-01,7.737780128227250e-01,8.457223377161088e-01,,False,False,masked,True,0.27
0.28,0.0,0.28,1,2.827519999999999e-01,-2.827519999999999e-01,2.819814399999999e-01,3.590092799999999e-01,7.986536899736121e-01,7.997434263762344e-01,,False,False,masked,True,0.28
0.28,0.0,0.28,2,2.827519999999999e-01,-2.827519999999999e-01,2.343699911111111e-01,3.828150044444444e-01,7.313209332307123e-01,7.997434263762346e-01,,False,False,masked,True,0.28
0.29,0.0,0.29,1,2.670862222222219e-01,-2.670862222222219e-01,2.737312177777778e-01,3.631343911111109e-01,7.648313584158973e-01,7.648890891810219e-01,,False,True,unmasked,True,0.29
0.29,0.0,0.29,2,2.670862222222219e-01,-2.670862222222219e-01,2.212677688888888e-01,3.893661155555553e-01,6.906368374683627e-01,7.554339155793213e-01,,False,False,masked,True,0.29
0.3,0.0,0.3,1,2.520000000000000e-01,-2.520000000000000e-01,2.663999999999999e-01,3.668000000000000e-01,7.331283107342121e-01,7.334110989070179e-01,,False,True,unmasked,True,0.3
0.3,0.0,0.3,2,2.520000000000001e-01,-2.520000000000001e-01,2.088000000000002e-01,3.956000000000000e-01,6.516696095415225e-01,7.127636354360400e-01,,False,False,masked,True,0.3
0.31,0.0,0.31,1,2.374826666666666e-01,-2.374826666666666e-01,2.599630400000000e-01,3.700184799999999e-01,7.034944649122682e-01,7.042124654765852e-01,,False,True,unmasked,True,0.31
0.31,0.0,0.31,2,2.374826666666666e-01,-2.374826666666666e-01,1.969385244444444e-01,4.015307377777778e-01,6.143643402516072e-01,6.717024160570576e-01,,False,False,masked,True,0.31
0.32,0.0,0.32,1,2.235235555555553e-01,-2.235235555555553e-01,2.543960177777777e-01,3.728019911111110e-01,6.758803423315625e-01,6.772890483372334e-01,,False,True,unmasked,True,0.32
0.32,0.0,0.32,2,2.235235555555553e-01,-2.235235555555553e-01,1.856560355555551e-01,4.071719822222221e-01,5.786673271956099e-01,6.322200875530447e-01,,False,False,masked,True,0.32
0.33,0.0,0.33,1,2.101119999999999e-01,-2.101119999999999e-01,2.496750399999999e-01,3.751624799999999e-01,6.502370677713805e-01,6.526398030859029e-01,,False,True,unmasked,True,0.33
0.33,0.0,0.33,2,2.101120000000000e-01,-2.101120000000000e-01,1.749260799999999e-01,4.125369599999997e-01,5.445260747660965e-01,5.942864800346713e-01,,False,False,masked,True,0.33
0.34,0.0,0.34,1,1.972373333333333e-01,-1.972373333333333e-01,2.457766400000000e-01,3.771116799999999e-01,6.265163694087926e-01,6.302657294511071e-01,,False,True,unmasked,True,0.34
0.34,0.0,0.34,2,1.972373333333334e-01,-1.972373333333334e-01,1.647230577777778e-01,4.176384711111110e-01,5.118892941512032e-01,5.578714236126060e-01,,False,False,masked,True,0.34
0.35,0.0,0.35,1,1.848888888888890e-01,-1.848888888888890e-01,2.426777777777779e-01,3.786611111111112e-01,6.046705788186566e-01,6.101685179087117e-01,,False,True,unmasked,True,0.35
0.35,0.0,0.35,2,1.848888888888890e-01,-1.848888888888890e-01,1.550222222222223e-01,4.224888888888890e-01,4.807069033346416e-01,5.229447483975180e-01,,False,False,masked,True,0.35
0.36,0.0,0.36,1,1.730560000000001e-01,-1.730560000000001e-01,2.403558400000000e-01,3.798220799999998e-01,5.846526309736161e-01,5.923489139286258e-01,,False,True,unmasked,True,0.36
0.36,0.0,0.36,2,1.730560000000001e-01,-1.730560000000001e-01,1.457996800000000e-01,4.271001600000000e-01,4.509300270956957e-01,4.894762845000770e-01,,False,False,masked,True,0.36
0.37,0.0,0.37,1,1.617280000000000e-01,-1.617280000000000e-01,2.387886399999999e-01,3.806056799999998e-01,5.664160642441023e-01,5.768048563493533e-01,,False,True,unmasked,True,0.37
0.37,0.0,0.37,2,1.617280000000000e-01,-1.617280000000000e-01,1.370323911111112e-01,4.314838044444441e-01,4.225109970092238e-01,4.574358620309519e-01,,False,False,masked,True,0.37
0.38,0.0,0.38,1,1.508942222222223e-01,-1.508942222222223e-01,2.379544177777779e-01,3.810227911111110e-01,5.499150203983334e-01,5.635294889888572e-01,,False,True,unmasked,True,0.38
0.38,0.0,0.38,2,1.508942222222223e-01,-1.508942222222223e-01,1.286981688888890e-01,4.356509155555556e-01,3.954033514456565e-01,4.267933111008130e-01,,False,False,masked,True,0.38
0.39,0.0,0.39,1,1.405440000000000e-01,-1.405440000000000e-01,2.378318400000001e-01,3.810840800000000e-01,5.351042446023122e-01,5.525091856387028e-01,,False,True,unmasked,True,0.39
0.39,0.0,0.39,2,1.405440000000000e-01,-1.405440000000000e-01,1.207756800000002e-01,4.396121599999998e-01,3.695618355709975e-01,3.975184618203285e-01,,False,False,masked,True,0.39
0.4,0.0,0.4,1,1.306666666666667e-01,-1.306666666666667e-01,2.384000000000001e-01,3.808000000000000e-01,5.219390854198303e-01,5.437217589090133e-01,,False,True,unmasked,True,0.4
0.4,0.0,0.4,2,1.306666666666667e-01,-1.306666666666667e-01,1.132444444444444e-01,4.433777777777776e-01,3.449424013468242e-01,3.695811443001690e-01,,False,False,masked,True,0.4
0.41,0.0,0.41,1,1.212515555555556e-01,-1.212515555555556e-01,2.396384177777779e-01,3.801807911111111e-01,5.103754948124648e-01,5.371350333004868e-01,,False,True,unmasked,True,0.41
0.41,0.0,0.41,2,1.212515555555556e-01,-1.212515555555556e-01,1.060848355555558e-01,4.469575822222221e-01,3.215022075302880e-01,3.429511886510031e-01,,False,False,masked,True,0.41
0.42,0.0,0.42,1,1.122880000000000e-01,-1.122880000000000e-01,2.415270399999999e-01,3.792364800000000e-01,5.003700281395790e-01,5.327059451335663e-01,,False,True,unmasked,True,0.42
0.42,0.0,0.42,2,1.122880000000000e-01,-1.122880000000000e-01,9.927807999999988e-02,4.503609599999999e-01,2.991996196741110e-01,3.175984249835003e-01,,False,False,masked,True,0.42
0.43,0.0,0.43,1,1.037653333333333e-01,-1.037653333333333e-01,2.440462399999999e-01,3.779768800000000e-01,4.918798441583241e-01,5.303802849273918e-01,,False,True,unmasked,True,0.43
0.43,0.0,0.43,2,1.037653333333333e-01,-1.037653333333333e-01,9.280625777777765e-02,4.535968711111110e-01,2.779942101265917e-01,2.934926834083301e-01,,False,False,masked,True,0.43
0.44,0.0,0.44,1,9.567288888888886e-02,-9.567288888888886e-02,2.471768177777778e-01,3.764115911111111e-01,4.848627050236374e-01,5.300931273468633e-01,,False,True,unmasked,True,0.44
0.44,0.0,0.44,2,9.567288888888888e-02,-9.567288888888888e-02,8.665230222222245e-02,4.566738488888890e-01,2.578467580316001e-01,2.706037940361617e-01,,False,False,masked,True,0.44
0.45,0.0,0.45,1,8.799999999999998e-02,-8.799999999999998e-02,2.509000000000001e-01,3.745500000000000e-01,4.792769762882421e-01,5.317699126501990e-01,,False,True,unmasked,True,0.45
0.45,0.0,0.45,2,8.799999999999999e-02,-8.799999999999999e-02,8.080000000000004e-02,4.596000000000001e-01,2.387192493285785e-01,2.489015869776647e-01,,False,False,masked,True,0.45
