d,q,gamma,v,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,concurrence,diqkd_rate_raw,chsh_valid,entangled,chsh_violating,shared_p,p
0.01,0.0,0.01,0.6,1,5.782655999999999e-01,-5.782655999999999e-01,5.725829439999996e-01,2.137085280000000e-01,1.627545619162129e+00,1.635582108347630e+00,3.645570719999998e-01,,False,True,False,False,
0.01,0.0,0.01,0.6,2,5.782655999999998e-01,-5.782655999999998e-01,5.725802951111112e-01,2.137098524444444e-01,1.627541873067537e+00,1.635582108347630e+00,3.645557475555554e-01,,False,True,False,False,
0.01,0.0,0.01,0.8,1,7.710207999999997e-01,-7.710207999999997e-01,7.634105920000001e-01,1.182947039999999e-01,2.170013685097426e+00,2.180776144463507e+00,6.527260959999998e-01,-3.925144710396968e-01,True,True,True,False,
0.01,0.0,0.01,0.8,2,7.710207999999998e-01,-7.710207999999998e-01,7.634079431111109e-01,1.182960284444444e-01,2.170009939002834e+00,2.180776144463507e+00,6.527247715555553e-01,-3.925214354375139e-01,True,True,True,False,
0.01,0.0,0.01,1.0,1,9.637759999999997e-01,-9.637759999999997e-01,9.542382399999996e-01,2.288088000000000e-02,2.712481751032723e+00,2.725970180579383e+00,9.408951199999995e-01,5.916985659614886e-01,True,True,True,False,
0.01,0.0,0.01,1.0,2,9.637759999999996e-01,-9.637759999999996e-01,9.542355911111107e-01,2.288220444444445e-02,2.712478004938131e+00,2.725970180579383e+00,9.408937955555550e-01,5.916851332849384e-01,True,True,True,False,
0.01,0.0,0.05,0.6,1,5.549013333333331e-01,-5.549013333333331e-01,5.296562666666662e-01,2.351718666666666e-01,1.533796067094813e+00,1.569497982757827e+00,3.197294666666662e-01,,False,True,False,False,
0.01,0.0,0.05,0.6,2,5.549013333333330e-01,-5.549013333333330e-01,5.295900444444439e-01,2.352049777777777e-01,1.533702414730016e+00,1.569497982757826e+00,3.196963555555550e-01,,False,True,False,False,
0.01,0.0,0.05,0.8,1,7.398684444444441e-01,-7.398684444444441e-01,7.053750222222220e-01,1.473124888888888e-01,2.043882911491107e+00,2.092663977010436e+00,5.925559555555551e-01,-5.708307079173363e-01,True,True,True,False,
0.01,0.0,0.05,0.8,2,7.398684444444442e-01,-7.398684444444442e-01,7.053087999999997e-01,1.473455999999999e-01,2.043789259126310e+00,2.092663977010436e+00,5.925228444444441e-01,-5.709846610350652e-01,True,True,True,False,
0.01,0.0,0.05,1.0,1,9.248355555555552e-01,-9.248355555555552e-01,8.810937777777772e-01,5.945311111111107e-02,2.553969755887400e+00,2.615829971263044e+00,8.653824444444438e-01,1.965461115660757e-01,True,True,True,False,
0.01,0.0,0.05,1.0,2,9.248355555555552e-01,-9.248355555555552e-01,8.810275555555556e-01,5.948622222222220e-02,2.553876103522604e+00,2.615829971263044e+00,8.653493333333330e-01,1.962966293145330e-01,True,True,True,False,
0.01,0.0,0.1,0.6,1,5.256959999999998e-01,-5.256959999999998e-01,4.831263999999996e-01,2.584367999999999e-01,1.426690320105775e+00,1.486892825770573e+00,2.672591999999996e-01,,False,True,False,False,
0.01,0.0,0.1,0.6,2,5.256959999999999e-01,-5.256959999999999e-01,4.828615111111108e-01,2.585692444444445e-01,1.426315710646586e+00,1.486892825770573e+00,2.671267555555553e-01,,False,True,False,False,
0.01,0.0,0.1,0.8,1,7.009279999999998e-01,-7.009279999999998e-01,6.408351999999999e-01,1.795823999999999e-01,1.897539714933123e+00,1.982523767694097e+00,5.213455999999997e-01,,False,True,False,False,
