d,q,gamma,v,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,concurrence,diqkd_rate_raw,chsh_valid,entangled,chsh_violating,shared_p,p
0.005,0.005,0.005,0.5,1,4.811200910999997e-01,-4.811200910999997e-01,4.884593338888880e-01,2.557703330555555e-01,1.371192372617192e+00,1.371231655006911e+00,2.253497580444437e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.5,2,4.811200910999996e-01,-4.811200910999996e-01,4.884590016666658e-01,2.557704991666666e-01,1.371191902784019e+00,1.371231181630972e+00,2.253495919333325e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.52,1,5.003648947439997e-01,-5.003648947439997e-01,5.079967072444440e-01,2.460016463777777e-01,1.426038653308318e+00,1.426079496330231e+00,2.543632483662217e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.52,2,5.003648947439997e-01,-5.003648947439997e-01,5.079963750222217e-01,2.460018124888887e-01,1.426038183475145e+00,1.426079022954747e+00,2.543630822551106e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.54,1,5.196096983879996e-01,-5.196096983879996e-01,5.275340805999997e-01,2.362329596999997e-01,1.480884933999443e+00,1.480927337654829e+00,2.833767386879995e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.54,2,5.196096983879999e-01,-5.196096983879999e-01,5.275337483777774e-01,2.362331258111109e-01,1.480884464166271e+00,1.480926864279768e+00,2.833765725768886e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.56,1,5.388545020319996e-01,-5.388545020319996e-01,5.470714539555552e-01,2.264642730222221e-01,1.535731214690569e+00,1.535775178980569e+00,3.123902290097772e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.56,2,5.388545020319998e-01,-5.388545020319998e-01,5.470711217333326e-01,2.264644391333332e-01,1.535730744857396e+00,1.535774705605899e+00,3.123900628986661e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.58,1,5.580993056759995e-01,-5.580993056759995e-01,5.666088273111110e-01,2.166955863444443e-01,1.590577495381694e+00,1.590623020307332e+00,3.414037193315550e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.58,2,5.580993056759994e-01,-5.580993056759994e-01,5.666084950888882e-01,2.166957524555555e-01,1.590577025548521e+00,1.590622546933027e+00,3.414035532204435e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.6,1,5.773441093199997e-01,-5.773441093199997e-01,5.861462006666660e-01,2.069268996666666e-01,1.645423776072819e+00,1.645470861635017e+00,3.704172096533327e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.6,2,5.773441093199997e-01,-5.773441093199997e-01,5.861458684444437e-01,2.069270657777777e-01,1.645423306239646e+00,1.645470388261053e+00,3.704170435422215e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.62,1,5.965889129639995e-01,-5.965889129639995e-01,6.056835740222215e-01,1.971582129888888e-01,1.700270056763944e+00,1.700318702963534e+00,3.994306999751103e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.62,2,5.965889129639995e-01,-5.965889129639995e-01,6.056832417999994e-01,1.971583790999999e-01,1.700269586930772e+00,1.700318229589888e+00,3.994305338639992e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.64,1,6.158337166079993e-01,-6.158337166079993e-01,6.252209473777766e-01,1.873895263111110e-01,1.755116337455068e+00,1.755166544292804e+00,4.284441902968876e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.64,2,6.158337166079996e-01,-6.158337166079996e-01,6.252206151555553e-01,1.873896924222222e-01,1.755115867621898e+00,1.755166070919459e+00,4.284440241857772e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.66,1,6.350785202519996e-01,-6.350785202519996e-01,6.447583207333333e-01,1.776208396333331e-01,1.809962618146196e+00,1.810014385622763e+00,4.574576806186663e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.66,2,6.350785202519997e-01,-6.350785202519997e-01,6.447579885111102e-01,1.776210057444443e-01,1.809962148313023e+00,1.810013912249696e+00,4.574575145075548e-01,,False,True,False,True,0.005
0.005,0.005,0.005,0.68,1,6.543233238959996e-01,-6.543233238959996e-01,6.642956940888887e-01,1.678521529555554e-01,1.864808898837321e+00,1.864862226953345e+00,4.864711709404439e-01,,False,True,False,True,0.005
