d,q,gamma,v,ordering_class,T_xx,T_yy,T_zz,Q,fixed_chsh,s_max,concurrence,diqkd_rate_raw,chsh_valid,entangled,chsh_violating,shared_p,p
0.001,0.001,0.001,0.5,1,4.961782051235522e-01,-4.961782051235522e-01,4.976717191120000e-01,2.511641404440003e-01,1.405516041817391e+00,1.405517628837893e+00,2.450140646795522e-01,,False,True,False,True,0.001
0.001,0.001,0.001,0.5,2,4.961782051235521e-01,-4.961782051235521e-01,4.976717164471113e-01,2.511641417764445e-01,1.405516038048669e+00,1.405517625063512e+00,2.450140633471077e-01,,False,True,False,True,0.001
0.001,0.001,0.001,0.6,1,5.954138461482628e-01,-5.954138461482628e-01,5.972058629343999e-01,2.013970685328002e-01,1.686618967338156e+00,1.686620871338059e+00,3.940167776154627e-01,,False,True,False,True,0.001
0.001,0.001,0.001,0.6,2,5.954138461482626e-01,-5.954138461482626e-01,5.972058602695116e-01,2.013970698652445e-01,1.686618963569435e+00,1.686620867563679e+00,3.940167762830185e-01,,False,True,False,True,0.001
0.001,0.001,0.001,0.7,1,6.946494871729730e-01,-6.946494871729730e-01,6.967400067568006e-01,1.516299966216000e-01,1.967721892858923e+00,1.967724113838260e+00,5.430194905513733e-01,,False,True,False,True,0.001
0.001,0.001,0.001,0.7,2,6.946494871729728e-01,-6.946494871729728e-01,6.967400040919116e-01,1.516299979540444e-01,1.967721889090200e+00,1.967724110063879e+00,5.430194892189286e-01,,False,True,False,True,0.001
0.001,0.001,0.001,0.8,1,7.938851281976835e-01,-7.938851281976835e-01,7.962741505792003e-01,1.018629247104001e-01,2.248824818379688e+00,2.248827356338480e+00,6.920222034872836e-01,-2.747814140775139e-01,True,True,True,True,0.001
0.001,0.001,0.001,0.8,2,7.938851281976835e-01,-7.938851281976835e-01,7.962741479143114e-01,1.018629260428444e-01,2.248824814610966e+00,2.248827352564100e+00,6.920222021548392e-01,-2.747814216407737e-01,True,True,True,True,0.001
0.001,0.001,0.001,0.85,1,8.435029487100388e-01,-8.435029487100388e-01,8.460412224904003e-01,7.697938875480005e-02,2.389376281140071e+00,2.389378977588596e+00,7.665235599552389e-01,-5.634347273982554e-02,True,True,True,True,0.001
0.001,0.001,0.001,0.85,2,8.435029487100388e-01,-8.435029487100388e-01,8.460412198255114e-01,7.697939008724448e-02,2.389376277371349e+00,2.389378973814217e+00,7.665235586227945e-01,-5.634348139891610e-02,True,True,True,True,0.001
0.001,0.001,0.001,0.9,1,8.931207692223938e-01,-8.931207692223938e-01,8.958082944015998e-01,5.209585279920002e-02,2.529927743900453e+00,2.529930598838714e+00,8.410249164231938e-01,1.968826231836913e-01,True,True,True,True,0.001
0.001,0.001,0.001,0.9,2,8.931207692223938e-01,-8.931207692223938e-01,8.958082917367114e-01,5.209585413164445e-02,2.529927740131732e+00,2.529930595064335e+00,8.410249150907495e-01,1.968826130259086e-01,True,True,True,True,0.001
0.001,0.001,0.001,0.95,1,9.427385897347489e-01,-9.427385897347489e-01,9.455753663128001e-01,2.721231684360003e-02,2.670479206660836e+00,2.670482220088836e+00,9.155262728911490e-01,5.019366193020689e-01,True,True,True,True,0.001
0.001,0.001,0.001,0.95,2,9.427385897347490e-01,-9.427385897347490e-01,9.455753636479114e-01,2.721231817604448e-02,2.670479202892114e+00,2.670482216314457e+00,9.155262715587047e-01,5.019366066938670e-01,True,True,True,True,0.001
0.001,0.001,0.001,1.0,1,9.923564102471044e-01,-9.923564102471044e-01,9.953424382240003e-01,2.328780888000000e-03,2.811030669421220e+00,2.811033841338960e+00,9.900276293591046e-01,9.221133134309875e-01,True,True,True,True,0.001
0.001,0.001,0.001,1.0,2,9.923564102471042e-01,-9.923564102471042e-01,9.953424355591112e-01,2.328782220444445e-03,2.811030665652497e+00,2.811033837564580e+00,9.900276280266598e-01,9.221132919514007e-01,True,True,True,True,0.001
0.002,0.002,0.002,0.5,1,4.923794188656643e-01,-4.923794188656643e-01,4.953535306808896e-01,2.523232346595555e-01,1.396865333251516e+00,1.396871665516217e+00,2.400561842061091e-01,,False,True,False,True,0.002
0.002,0.002,0.002,0.5,2,4.923794188656641e-01,-4.923794188656641e-01,4.953535093759999e-01,2.523232453120002e-01,1.396865303121852e+00,1.396871635295968e+00,2.400561735536641e-01,,False,True,False,True,0.002
0.002,0.002,0.002,0.6,1,5.908553026387968e-01,-5.908553026387968e-01,5.944234368170669e-01,2.027882815914668e-01,1.676237268530968e+00,1.676244863847520e+00,3.880670210473303e-01,,False,True,False,True,0.002
0.002,0.002,0.002,0.6,2,5.908553026387970e-01,-5.908553026387970e-01,5.944234155121775e-01,2.027882922439112e-01,1.676237238401305e+00,1.676244833627292e+00,3.880670103948858e-01,,False,True,False,True,0.002
