fixed_quantity,fixed_value,ordering_class,threshold_type,threshold_value
v,0.5,1,CHSH_eq_2_in_p,
v,0.5,1,concurrence_eq_0_in_p,5.909767558214417e-02
v,0.5,1,DIQKD_eq_0_in_p,
v,0.5,2,CHSH_eq_2_in_p,
v,0.5,2,concurrence_eq_0_in_p,5.902288436264449e-02
v,0.5,2,DIQKD_eq_0_in_p,
v,0.7,1,CHSH_eq_2_in_p,
v,0.7,1,concurrence_eq_0_in_p,1.055568785746355e-01
v,0.7,1,DIQKD_eq_0_in_p,
v,0.7,2,CHSH_eq_2_in_p,
v,0.7,2,concurrence_eq_0_in_p,1.051646317029625e-01
v,0.7,2,DIQKD_eq_0_in_p,
v,0.85,1,CHSH_eq_2_in_p,2.945845476449007e-02
v,0.85,1,concurrence_eq_0_in_p,1.313289162941857e-01
v,0.85,1,DIQKD_eq_0_in_p,
v,0.85,2,CHSH_eq_2_in_p,2.945099162596470e-02
v,0.85,2,concurrence_eq_0_in_p,1.306086731684207e-01
v,0.85,2,DIQKD_eq_0_in_p,
v,0.9,1,CHSH_eq_2_in_p,3.844952608256397e-02
v,0.9,1,concurrence_eq_0_in_p,1.387751371229064e-01
v,0.9,1,DIQKD_eq_0_in_p,8.723257256027576e-03
v,0.9,2,CHSH_eq_2_in_p,3.843317031553166e-02
v,0.9,2,concurrence_eq_0_in_p,1.379370822970704e-01
v,0.9,2,DIQKD_eq_0_in_p,8.723003915062730e-03
v,1.0,1,CHSH_eq_2_in_p,5.482902892915806e-02
v,1.0,1,concurrence_eq_0_in_p,1.523359058877377e-01
v,1.0,1,DIQKD_eq_0_in_p,2.737511373343469e-02
v,1.0,2,CHSH_eq_2_in_p,5.478285573627736e-02
v,1.0,2,concurrence_eq_0_in_p,1.512554002182405e-01
v,1.0,2,DIQKD_eq_0_in_p,2.736735920645703e-02
p,0.01,1,CHSH_eq_2_in_v,7.522886195220053e-01
p,0.01,1,concurrence_eq_0_in_v,3.564249479677528e-01
p,0.01,1,DIQKD_eq_0_in_v,9.064858035571883e-01
p,0.01,2,CHSH_eq_2_in_v,7.522900286712684e-01
p,0.01,2,concurrence_eq_0_in_v,3.564258922124282e-01
p,0.01,2,DIQKD_eq_0_in_v,9.064877488887546e-01
p,0.02,1,CHSH_eq_2_in_v,8.007993382052518e-01
p,0.02,1,concurrence_eq_0_in_v,3.813601704314351e-01
p,0.02,1,DIQKD_eq_0_in_v,9.590821672598635e-01
p,0.02,2,CHSH_eq_2_in_v,8.008112605311908e-01
p,0.02,2,concurrence_eq_0_in_v,3.813682007603347e-01
p,0.02,2,DIQKD_eq_0_in_v,9.590986366195400e-01
p,0.05,1,CHSH_eq_2_in_v,9.692521223914810e-01
p,0.05,1,concurrence_eq_0_in_v,4.690105614718050e-01
p,0.05,1,DIQKD_eq_0_in_v,
p,0.05,2,CHSH_eq_2_in_v,9.694733532378450e-01
p,0.05,2,concurrence_eq_0_in_v,4.691620657686144e-01
p,0.05,2,DIQKD_eq_0_in_v,
p,0.1,1,CHSH_eq_2_in_v,
p,0.1,1,concurrence_eq_0_in_v,6.717876335605979e-01
p,0.1,1,DIQKD_eq_0_in_v,
p,0.1,2,CHSH_eq_2_in_v,
p,0.1,2,concurrence_eq_0_in_v,6.734765274450183e-01
p,0.1,2,DIQKD_eq_0_in_v,
