p,scenario,trials,n_transmissions_per_trial,mean_conclusive_fraction,exact_conclusive_probability,difference_conclusive,mean_qber,std_qber,ci95_low,ci95_high,exact_qber,difference_from_exact,ci_contains_exact
0.01,single,50,1000,0.25226,0.25333333333333324,-0.0010733333333332595,0.014450661707616292,0.006275136674358003,0.012711282563054403,0.01619004085217818,0.013157894736842044,0.0012927669707742482,True
0.02,single,50,1000,0.2593,0.25666666666666665,0.002633333333333321,0.025866224860399013,0.00995351170034408,0.0231072521773853,0.028625197543412726,0.025974025974026062,-0.00010780111362704986,True
0.03,single,50,1000,0.25896,0.25999999999999995,-0.0010399999999999299,0.04009520861057142,0.012921306287397658,0.03651360523790938,0.04367681198323346,0.03846153846153849,0.0016336701490329286,True
0.04,single,50,1000,0.25984,0.26333333333333325,-0.0034933333333332373,0.04923949603778373,0.014078686923688633,0.045337083120158224,0.05314190895540923,0.050632911392405035,-0.0013934153546213066,True
0.05,single,50,1000,0.2657,0.26666666666666655,-0.0009666666666665602,0.0669917916249858,0.01511833098634747,0.06280120407560355,0.07118237917436804,0.06249999999999991,0.004491791624985884,False
0.06,single,50,1000,0.27216,0.26999999999999996,0.0021600000000000508,0.07669600430888922,0.01738630335351871,0.07187676689248174,0.0815152417252967,0.07407407407407413,0.0026219302348150925,True
0.07,single,50,1000,0.2717,0.27333333333333326,-0.0016333333333332645,0.09070696859384476,0.017924151002396044,0.08573864741528886,0.09567528977240067,0.08536585365853658,0.005341114935308186,False
0.08,single,50,1000,0.27836,0.27666666666666656,0.0016933333333334355,0.09694409069716763,0.017133031686053322,0.09219505660527065,0.1016931247890646,0.09638554216867465,0.0005585485284929775,True
0.09,single,50,1000,0.27825999999999995,0.27999999999999997,-0.0017400000000000193,0.1082238335290947,0.017235237519014183,0.10344646942567286,0.11300119763251655,0.1071428571428572,0.0010809763862374977,True
0.1,single,50,1000,0.28459999999999996,0.2833333333333332,0.0012666666666667492,0.12046667621891068,0.018757842729257224,0.11526726748354957,0.12566608495427178,0.11764705882352944,0.002819617395381238,True
0.01,dual,50,1000,0.25495999999999996,0.2557999999999999,-0.0008399999999999519,0.022205170327842007,0.010580627152856546,0.019272370109917388,0.025137970545766625,0.02267396403440179,-0.0004687937065597815,True
0.02,dual,50,1000,0.26305999999999996,0.2615333333333333,0.0015266666666666762,0.047454534411200726,0.01253401976029496,0.04398028138693267,0.05092878743546878,0.04409890390007648,0.0033556305111242454,True
0.03,dual,50,1000,0.26852,0.26719999999999994,0.0013200000000000434,0.05918938665513194,0.014156791463926198,0.05526532426348941,0.06311344904677446,0.06437125748503,-0.005181870829898065,False
0.04,dual,50,1000,0.27254,0.2727999999999999,-0.00025999999999987145,0.08135400381900285,0.013929495711235685,0.07749294459564077,0.08521506304236492,0.08357771260997067,-0.002223708790967824,True
