p,scenario,trial,seed,n_transmissions,conclusive_count,conclusive_fraction,qber,exact_qber,difference_from_exact,exact_conclusive_probability,difference_conclusive
0.01,single,1,803805062,1000,235,0.235,0.00851063829787234,0.013157894736842044,-0.004647256438969703,0.25333333333333324,-0.018333333333333257
0.01,single,2,868791525,1000,240,0.24,0.029166666666666667,0.013157894736842044,0.016008771929824625,0.25333333333333324,-0.013333333333333253
0.01,single,3,2835962535,1000,262,0.262,0.015267175572519083,0.013157894736842044,0.0021092808356770396,0.25333333333333324,0.008666666666666767
0.01,single,4,3125616926,1000,265,0.265,0.018867924528301886,0.013157894736842044,0.005710029791459842,0.25333333333333324,0.01166666666666677
0.01,single,5,4107846187,1000,247,0.247,0.008097165991902834,0.013157894736842044,-0.00506072874493921,0.25333333333333324,-0.0063333333333332464
0.01,single,6,3802774572,1000,251,0.251,0.0199203187250996,0.013157894736842044,0.006762423988257557,0.25333333333333324,-0.002333333333333243
0.01,single,7,121517946,1000,251,0.251,0.01195219123505976,0.013157894736842044,-0.001205703501782283,0.25333333333333324,-0.002333333333333243
0.01,single,8,648414525,1000,253,0.253,0.007905138339920948,0.013157894736842044,-0.005252756396921096,0.25333333333333324,-0.0003333333333332411
0.01,single,9,2743978601,1000,259,0.259,0.011583011583011582,0.013157894736842044,-0.0015748831538304614,0.25333333333333324,0.005666666666666764
0.01,single,10,404225113,1000,249,0.249,0.01606425702811245,0.013157894736842044,0.0029063622912704045,0.25333333333333324,-0.004333333333333245
0.01,single,11,2685925909,1000,227,0.227,0.013215859030837005,0.013157894736842044,5.796429399496095e-05,0.25333333333333324,-0.026333333333333236
0.01,single,12,3142262717,1000,246,0.246,0.024390243902439025,0.013157894736842044,0.011232349165596981,0.25333333333333324,-0.007333333333333247
0.01,single,13,1675209178,1000,270,0.27,0.011111111111111112,0.013157894736842044,-0.0020467836257309323,0.25333333333333324,0.016666666666666774
0.01,single,14,2586040851,1000,234,0.234,0.008547008547008548,0.013157894736842044,-0.004610886189833496,0.25333333333333324,-0.01933333333333323
0.01,single,15,209389404,1000,246,0.246,0.02032520325203252,0.013157894736842044,0.007167308515190476,0.25333333333333324,-0.007333333333333247
0.01,single,16,592185738,1000,248,0.248,0.016129032258064516,0.013157894736842044,0.002971137521222472,0.25333333333333324,-0.0053333333333332456
0.01,single,17,2974120664,1000,261,0.261,0.007662835249042145,0.013157894736842044,-0.005495059487799899,0.25333333333333324,0.007666666666666766
0.01,single,18,4178011205,1000,227,0.227,0.00881057268722467,0.013157894736842044,-0.004347322049617373,0.25333333333333324,-0.026333333333333236
0.01,single,19,2998517284,1000,268,0.268,0.018656716417910446,0.013157894736842044,0.005498821681068402,0.25333333333333324,0.014666666666666772
0.01,single,20,1797420667,1000,235,0.235,0.01702127659574468,0.013157894736842044,0.0038633818589026373,0.25333333333333324,-0.018333333333333257
0.01,single,21,1103674084,1000,241,0.241,0.012448132780082987,0.013157894736842044,-0.0007097619567590571,0.25333333333333324,-0.012333333333333252
0.01,single,22,3678485691,1000,262,0.262,0.019083969465648856,0.013157894736842044,0.005926074728806812,0.25333333333333324,0.008666666666666767
0.01,single,23,3013591546,1000,269,0.269,0.026022304832713755,0.013157894736842044,0.012864410095871711,0.25333333333333324,0.015666666666666773
0.01,single,24,4213390682,1000,223,0.223,0.004484304932735426,0.013157894736842044,-0.008673589804106617,0.25333333333333324,-0.03033333333333324
0.01,single,25,2300416532,1000,255,0.255,0.01568627450980392,0.013157894736842044,0.0025283797729618775,0.25333333333333324,0.0016666666666667607
0.01,single,26,2036609129,1000,239,0.239,0.008368200836820083,0.013157894736842044,-0.004789693900021961,0.25333333333333324,-0.014333333333333254
0.01,single,27,2811700182,1000,262,0.262,0.015267175572519083,0.013157894736842044,0.0021092808356770396,0.25333333333333324,0.008666666666666767
0.01,single,28,2390513661,1000,266,0.266,0.011278195488721804,0.013157894736842044,-0.00187969924812024,0.25333333333333324,0.01266666666666677
0.01,single,29,2782152042,1000,260,0.26,0.015384615384615385,0.013157894736842044,0.0022267206477733417,0.25333333333333324,0.006666666666666765
0.01,single,30,262086742,1000,262,0.262,0.022900763358778626,0.013157894736842044,0.009742868621936582,0.25333333333333324,0.008666666666666767
0.01,single,31,3645902588,1000,241,0.241,0.016597510373443983,0.013157894736842044,0.0034396156366019396,0.25333333333333324,-0.012333333333333252
0.01,single,32,3296416966,1000,251,0.251,0.02390438247011952,0.013157894736842044,0.010746487733277478,0.25333333333333324,-0.002333333333333243
0.01,single,33,1060774512,1000,253,0.253,0.003952569169960474,0.013157894736842044,-0.00920532556688157,0.25333333333333324,-0.0003333333333332411
0.01,single,34,2766297066,1000,269,0.269,0.0037174721189591076,0.013157894736842044,-0.009440422617882936,0.25333333333333324,0.015666666666666773
