p,scenario,trials,n_transmissions_per_trial,mean_sifted_bits,mean_qber,std_qber,ci95_low,ci95_high,reference_qber,difference_from_reference,paper_table_4_qber,difference_from_paper,sigma_p,secret_key_rate,pri
0.01,single,50,1000,495.6,0.006575224690534861,0.0037127506562800467,0.005546102713497974,0.007604346667571748,0.006666666666666656,-9.144197613179458e-05,nan,nan,0.01,0.8857661796984848,88.57661796984848
0.02,single,50,1000,498.48,0.01430257652241965,0.00504919333522183,0.012903011534451598,0.015702141510387704,0.013333333333333388,0.0009692431890862621,0.049,-0.034697423477580355,0.02,0.7837476318215982,39.18738159107991
0.03,single,50,1000,501.24,0.020078151563867306,0.005870776141347011,0.01845085544068044,0.021705447687054173,0.020000000000000046,7.815156386726044e-05,nan,nan,0.03,0.7162417672002657,23.87472557334219
0.04,single,50,1000,495.94,0.025211731492783964,0.007489517878836626,0.023135743051846205,0.027287719933721723,0.026666666666666658,-0.001454935173882694,0.099,-0.07378826850721604,0.04,0.6604426109236744,16.51106527309186
0.05,single,50,1000,505.12,0.03328205869786393,0.008229103141156794,0.0310010676812593,0.03556304971446856,0.03333333333333323,-5.127463546929917e-05,nan,nan,0.05,0.5788136995434829,11.576273990869659
0.06,single,50,1000,499.12,0.040014105690231866,0.007499517479110218,0.03793534550151036,0.04209286587895337,0.04000000000000005,1.4105690231816514e-05,0.151,-0.11098589430976813,0.06,0.5152862811881668,8.588104686469446
0.07,single,50,1000,498.28,0.048343119082237006,0.011511443755715316,0.04515230966539878,0.05153392849907523,0.04666666666666666,0.001676452415570344,nan,nan,0.07,0.4413669734834401,6.305242478334859
0.08,single,50,1000,499.98,0.05312595159810143,0.011252756942787913,0.05000684650751601,0.056245056688686845,0.05333333333333329,-0.00020738173523186104,0.199,-0.14587404840189858,0.08,0.4009395592023296,5.01174449002912
0.09,single,50,1000,501.2,0.05895719963352542,0.01042858100227489,0.056066544458339605,0.06184785480871124,0.06000000000000001,-0.0010428003664745902,nan,nan,0.09,0.35341718571025094,3.926857619002788
0.1,single,50,1000,502.42,0.07001720370096944,0.012740117652035527,0.06648582325570088,0.073548584146238,0.06666666666666665,0.0033505370343027835,0.246,-0.17598279629903057,0.1,0.26802430308168446,2.6802430308168446
0.01,dual,50,1000,503.42,0.012451246197010641,0.004455176310300018,0.011216334327895879,0.013686158066125404,0.011599999999999938,0.0008512461970107028,nan,nan,0.02,0.8067257326095154,40.33628663047577
0.02,dual,50,1000,495.66,0.02247475390662626,0.007366463958538575,0.02043287427219428,0.02451663354105824,0.02306666666666668,-0.0005919127600404195,0.064,-0.04152524609337374,0.04,0.6897624991020259,17.24406247755065
0.03,dual,50,1000,500.38,0.0338654673966202,0.008289118038900468,0.031567841099078196,0.0361630936941622,0.03440000000000006,-0.0005345326033798642,nan,nan,0.06,0.5731578187110754,9.552630311851257
0.04,dual,50,1000,496.06,0.043662073393102734,0.008681242683234634,0.04125575568948974,0.046068391096715726,0.045599999999999974,-0.0019379266068972403,0.132,-0.08833792660689727,0.08,0.4823244344195864,6.02905543024483
0.05,dual,50,1000,500.4,0.05703494114866399,0.010318612018939681,0.05417476782050209,0.05989511447682589,0.05666666666666659,0.0003682744819974021,nan,nan,0.1,0.3688789556970056,3.6887895569700557
0.06,dual,50,1000,496.62,0.06901215084221088,0.011628505749556813,0.06578889349614415,0.0722354081882776,0.0676,0.0014121508422108853,0.207,-0.1379878491577891,0.12,0.27554733753431004,2.2962278127859173
0.07,dual,50,1000,503.68,0.07795037657349194,0.011196837696164214,0.0748467715072732,0.08105398163971067,0.07839999999999994,-0.0004496234265080057,nan,nan,0.14,0.21016856682234164,1.5012040487310117
0.08,dual,50,1000,500.38,0.08974985919769837,0.00925649257047919,0.0871840903603956,0.09231562803500115,0.08906666666666663,0.0006831925310317455,0.287,-0.1972501408023016,0.16,0.1287313437703026,0.8045708985643912
0.09,dual,50,1000,499.58,0.10042829260751279,0.012781461189904688,0.09688545231821791,0.10397113289680768,0.0996,0.0008282926075127983,nan,nan,0.18,0.0592964386549244,0.32942465919402447
0.1,dual,50,1000,499.5,0.11117691443356469,0.013990711132131992,0.10729888716122485,0.11505494170590452,0.10999999999999993,0.0011769144335647547,0.368,-0.2568230855664353,0.2,0.0,0.0
0.01,triple,50,1000,500.7,0.01645262878298179,0.006001838319882467,0.014789004077356718,0.018116253488606866,0.015278370203426324,0.001174258579555467,nan,nan,0.03,0.757939072676102,25.26463575587007
0.02,triple,50,1000,499.72,0.030675356820885135,0.007213103162632895,0.02867598663028436,0.03267472701148591,0.03028113161408483,0.0003942252068003041,nan,nan,0.06,0.6044649723672081,10.074416206120135
0.03,triple,50,1000,499.4,0.04597768221069307,0.009680219912352827,0.0432944621464796,0.04866090227490655,0.04500976799147992,0.0009679142192131548,nan,nan,0.09,0.4618835257437486,5.13203917493054
0.04,triple,50,1000,499.94,0.059264928850939196,0.010643992855331106,0.056314564556392124,0.06221529314548627,0.059465773335203684,-0.00020084448426448825,nan,nan,0.12,0.3509599519337423,2.924666266114519
0.05,triple,50,1000,497.74,0.07728223096802062,0.014928359412126781,0.07314430085247711,0.08142016108356412,0.073650652092345,0.0036315788756756118,nan,nan,0.15000000000000002,0.21494038229115864,1.4329358819410574
0.06,triple,50,1000,506.5,0.08558937375066324,0.012780710661028916,0.08204674149735891,0.08913200600396756,0.087565919371787,-0.0019765456211237598,nan,nan,0.18,0.1568524116816825,0.8714022871204584
0.07,triple,50,1000,501.98,0.1031902006734807,0.012262164581315179,0.0997913020603111,0.1065890992866503,0.10121310116571065,0.0019770995077700443,nan,nan,0.21000000000000002,0.04194504429240209,0.19973830615429564
0.08,triple,50,1000,496.22,0.11475746439361593,0.01255657096251849,0.11127696049500554,0.11823796829222633,0.11459373457864006,0.0001637298149758798,nan,nan,0.24,0.0,0.0
0.09,triple,50,1000,498.62,0.1277501918217867,0.013810142896303746,0.12392221551086312,0.13157816813271028,0.127709368064383,4.0823757403718464e-05,nan,nan,0.27,0.0,0.0
0.1,triple,50,1000,500.48,0.13987435670555157,0.01696735784947475,0.13517124505823208,0.14457746835287105,0.14056156167124417,-0.000687204965692606,nan,nan,0.30000000000000004,0.0,0.0
