p,scenario,trials,num_pairs_per_trial,mean_qber,std_qber,ci95_qber_low,ci95_qber_high,mean_chsh,std_chsh,ci95_chsh_low,ci95_chsh_high,exact_chsh,difference_from_exact_chsh,mean_sifted_length,secure_fraction
0.01,single,50,1000,0.021950462018912396,0.009873837951394992,0.019213573772379148,0.024687350265445645,2.7069933201904193,4.485978453382215e-16,2.7069933201904193,2.7069933201904193,2.7069933201904197,-4.440892098500626e-16,225.9,1.0
0.02,single,50,1000,0.029145474688952122,0.0121636263083941,0.025773889491530175,0.03251705988637407,2.6704123293770357,0.0,2.6704123293770357,2.6704123293770357,2.6704123293770357,0.0,220.26,1.0
0.03,single,50,1000,0.03661023710157531,0.0123227102328975,0.03319455609001006,0.04002591811314055,2.6338313385636507,4.485978453382215e-16,2.6338313385636507,2.6338313385636507,2.633831338563651,-4.440892098500626e-16,222.7,1.0
0.04,single,50,1000,0.04212706735009182,0.013867872750030139,0.03828308914011787,0.045971045560065774,2.597250347750267,0.0,2.597250347750267,2.597250347750267,2.597250347750267,0.0,220.74,1.0
0.05,single,50,1000,0.04831108021952432,0.01688277740859865,0.043631413074298124,0.05299074736475052,2.5606693569368826,4.485978453382215e-16,2.5606693569368826,2.5606693569368826,2.560669356936883,-4.440892098500626e-16,219.56,1.0
0.060000000000000005,single,50,1000,0.05377356201936248,0.01715560824303022,0.04901827002514409,0.05852885401358087,2.5240883661234985,4.485978453382215e-16,2.5240883661234985,2.5240883661234985,2.524088366123499,-4.440892098500626e-16,218.66,1.0
0.06999999999999999,single,50,1000,0.06083655131188311,0.01600652945714963,0.05639976770709732,0.0652733349166689,2.487507375310116,4.485978453382215e-16,2.487507375310116,2.487507375310116,2.4875073753101153,4.440892098500626e-16,222.18,1.0
0.08,single,50,1000,0.06483048827877867,0.014742492275667388,0.06074407790497051,0.06891689865258684,2.4509263844967313,0.0,2.4509263844967313,2.4509263844967313,2.4509263844967313,0.0,219.24,1.0
0.09,single,50,1000,0.07742530041409908,0.020140630554363433,0.07184260244869264,0.08300799837950551,2.4143453936833477,4.485978453382215e-16,2.4143453936833477,2.4143453936833477,2.414345393683347,4.440892098500626e-16,225.88,1.0
0.09999999999999999,single,50,1000,0.07499511135490483,0.017251965378685258,0.07021311052534379,0.07977711218446587,2.3777644028699623,4.485978453382215e-16,2.3777644028699623,2.3777644028699623,2.3777644028699627,-4.440892098500626e-16,224.38,1.0
0.01,dual,50,1000,0.025705358191560657,0.010232033924717606,0.022869183086749196,0.02854153329637212,2.679923386988516,4.485978453382215e-16,2.679923386988516,2.679923386988516,2.6799233869885155,4.440892098500626e-16,222.54,1.0
0.02,dual,50,1000,0.035313553123674804,0.010706707275153675,0.032345805278846125,0.03828130096850348,2.617004082789495,0.0,2.617004082789495,2.617004082789495,2.617004082789495,0.0,224.22,1.0
0.03,dual,50,1000,0.048050269766673974,0.01627562214098381,0.0435388974753775,0.05256164205797045,2.5548163984067425,4.485978453382215e-16,2.5548163984067425,2.5548163984067425,2.554816398406742,4.440892098500626e-16,220.78,1.0
0.04,dual,50,1000,0.059755561217597196,0.015904793594374775,0.05534697735524693,0.06416414507994747,2.4933603338402563,0.0,2.4933603338402563,2.4933603338402563,2.4933603338402563,0.0,223.58,1.0
0.05,dual,50,1000,0.06985563617683335,0.01844321663482111,0.06474343734547854,0.07496783500818817,2.4326358890900384,0.0,2.4326358890900384,2.4326358890900384,2.4326358890900384,0.0,224.24,1.0
0.060000000000000005,dual,50,1000,0.08038682273291192,0.01887578419182507,0.07515472229202862,0.08561892317379523,2.372643064156089,0.0,2.372643064156089,2.372643064156089,2.372643064156089,0.0,222.28,1.0
0.06999999999999999,dual,50,1000,0.08660285423614413,0.0187728116600594,0.08139929632485189,0.09180641214743636,2.3133818590384077,0.0,2.3133818590384077,2.3133818590384077,2.3133818590384077,0.0,223.28,1.0
0.08,dual,50,1000,0.10308887937828658,0.021777948581185598,0.09705234001042796,0.10912541874614519,2.2548522737369927,0.0,2.2548522737369927,2.2548522737369927,2.2548522737369927,0.0,221.92,0.96
0.09,dual,50,1000,0.11079657881505481,0.019497683451744918,0.10539209669408105,0.11620106093602857,2.1970543082518454,0.0,2.1970543082518454,2.1970543082518454,2.1970543082518454,0.0,218.42,0.96
0.09999999999999999,dual,50,1000,0.12234280384257053,0.022619782589224376,0.11607291999271059,0.12861268769243045,2.139987962582966,4.485978453382215e-16,2.139987962582966,2.139987962582966,2.1399879625829663,-4.440892098500626e-16,222.6,0.8
