p,state,frobenius_difference
0.01,|0><0|,0.0
0.01,|1><1|,0.0
0.01,|+><+|,0.0
0.01,|-><-|,0.0
0.01,"bloch(0.3,0.4,0.5)",1.1102230246251565e-16
0.01,"bloch(-0.2,0.6,-0.4)",0.0
0.01,"bloch(0.7,-0.1,0.2)",7.850462293418876e-17
0.02,|0><0|,1.1103585416259206e-16
0.02,|1><1|,1.1103585416259206e-16
0.02,|+><+|,7.850462293418876e-17
0.02,|-><-|,7.850462293418876e-17
0.02,"bloch(0.3,0.4,0.5)",1.1102230246251565e-16
0.02,"bloch(-0.2,0.6,-0.4)",5.551115123125783e-17
0.02,"bloch(0.7,-0.1,0.2)",0.0
0.03,|0><0|,0.0
0.03,|1><1|,0.0
0.03,|+><+|,7.850462293418876e-17
0.03,|-><-|,7.850462293418876e-17
0.03,"bloch(0.3,0.4,0.5)",5.551115123125783e-17
0.03,"bloch(-0.2,0.6,-0.4)",9.813077866773594e-17
0.03,"bloch(0.7,-0.1,0.2)",1.4719616800160392e-16
0.04,|0><0|,1.1102230246251565e-16
0.04,|1><1|,1.1102230246251565e-16
0.04,|+><+|,7.850462293418876e-17
0.04,|-><-|,7.850462293418876e-17
0.04,"bloch(0.3,0.4,0.5)",1.2412670766236366e-16
0.04,"bloch(-0.2,0.6,-0.4)",9.813077866773594e-17
0.04,"bloch(0.7,-0.1,0.2)",1.1145513959121702e-16
0.05,|0><0|,1.1102230246251565e-16
0.05,|1><1|,1.1102230246251565e-16
0.05,|+><+|,7.850462293418876e-17
0.05,|-><-|,7.850462293418876e-17
0.05,"bloch(0.3,0.4,0.5)",0.0
0.05,"bloch(-0.2,0.6,-0.4)",1.1102230246251565e-16
0.05,"bloch(0.7,-0.1,0.2)",0.0
0.06,|0><0|,1.1123893155135927e-16
0.06,|1><1|,1.1123893155135927e-16
0.06,|+><+|,7.850462293418876e-17
0.06,|-><-|,7.850462293418876e-17
0.06,"bloch(0.3,0.4,0.5)",1.2566871346510768e-16
0.06,"bloch(-0.2,0.6,-0.4)",6.798699777552591e-17
0.06,"bloch(0.7,-0.1,0.2)",7.850462293418876e-17
0.07,|0><0|,1.1123893155135927e-16
0.07,|1><1|,1.1123893155135927e-16
0.07,|+><+|,0.0
0.07,|-><-|,0.0
0.07,"bloch(0.3,0.4,0.5)",1.962615573354719e-17
0.07,"bloch(-0.2,0.6,-0.4)",1.3018518929051675e-16
0.07,"bloch(0.7,-0.1,0.2)",1.3597399555105182e-16
0.08,|0><0|,1.1102230246251565e-16
0.08,|1><1|,1.1102230246251565e-16
0.08,|+><+|,7.850462293418876e-17
0.08,|-><-|,7.850462293418876e-17
0.08,"bloch(0.3,0.4,0.5)",4.3885418357208765e-17
0.08,"bloch(-0.2,0.6,-0.4)",4.3885418357208765e-17
0.08,"bloch(0.7,-0.1,0.2)",1.4719616800160392e-16
0.09,|0><0|,0.0
0.09,|1><1|,0.0
0.09,|+><+|,0.0
0.09,|-><-|,0.0
0.09,"bloch(0.3,0.4,0.5)",1.962615573354719e-17
0.09,"bloch(-0.2,0.6,-0.4)",3.925231146709438e-17
0.09,"bloch(0.7,-0.1,0.2)",1.2412670766236366e-16
0.1,|0><0|,1.1102230246251565e-16
0.1,|1><1|,1.1102230246251565e-16
0.1,|+><+|,7.850462293418876e-17
0.1,|-><-|,7.850462293418876e-17
0.1,"bloch(0.3,0.4,0.5)",1.2412670766236366e-16
0.1,"bloch(-0.2,0.6,-0.4)",5.551115123125783e-17
0.1,"bloch(0.7,-0.1,0.2)",1.7109685898544713e-16
